Comment,S=4_D=3_X=1(0)_11
Site, X, Y, Vertex
X0,4.3,5.8,0
Supplier, X, Y, Vertex
S0,7.1,9.95,1
S1,1.2,1.6,2
S2,3.1,4.0,3
S3,5.8,3.7,4
Destination, X, Y, Vertex
D0,5.3,8.4,5
D1,3.2,7.5,6
D2,4.6,5.8,7
Order, To, Qty, ect, ldt,
S1,D0,3,0,600,0
S0,D2,3,0,600,1
S3,D0,2,0,600,2
S0,D1,1,0,600,3
S3,D1,1,0,600,4
S3,D2,3,0,600,5
S2,D2,1,0,600,6
S2,D1,3,0,600,7
S2,D0,2,0,600,8
S1,D1,1,0,600,9
S1,D2,3,0,600,10
Routes
route0,"[X0,S1,S3,D0,X0]"
route1,"[X0,S1,S2,D2,D0,X0]"
route2,"[X0,S1,D1,D2,X0]"
route3,"[X0,D2,S3,S1,S2,X0]"
route4,"[X0,D2,S3,X0]"
route5,"[X0,D2,S2,S3,D0,D1,D2,X0]"
route6,"[X0,D2,S3,S2,S1,D1,D0,X0]"
route7,"[X0,D2,D1,X0]"
route8,"[X0,D2,S2,S1,S3,S0,X0]"
route9,"[X0,S2,S1,D1,D0,D2,X0]"
route10,"[X0,D2,S0,D1,D2,X0]"
route11,"[X0,S3,D0,D2,X0]"
route12,"[X0,D2,D1,D0,S0,D1,X0]"
route13,"[X0,D2,S0,D2,X0]"
route14,"[X0,D2,S2,D0,X0]"
route15,"[X0,D2,S2,S1,D1,D0,X0]"
route16,"[X0,D2,S1,D1,X0]"
route17,"[X0,D2,S0,D0,D1,X0]"
route18,"[X0,S3,S1,D1,X0]"
route19,"[X0,D2,S2,S3,D0,D2,X0]"
route20,"[X0,D2,S3,S1,D1,X0]"
route21,"[X0,S2,S3,S0,X0]"
route22,"[X0,D2,D1,S1,S3,D0,X0]"
route23,"[X0,S2,D1,D2,X0]"
route24,"[X0,D2,S3,S1,D1,D2,X0]"
route25,"[X0,D2,X0]"
route26,"[X0,S3,D1,X0]"
route27,"[X0,D2,D0,S0,D1,D2,X0]"
route28,"[X0,S3,X0]"
route29,"[X0,S2,S3,X0]"
route30,"[X0,D2,S1,D1,D0,X0]"
route31,"[X0,S2,D1,X0]"
route32,"[X0,S0,X0]"
route33,"[X0,S2,S1,D1,D2,X0]"
route34,"[X0,D2,S2,D1,D0,X0]"
route35,"[X0,D2,D0,S0,D0,X0]"
route36,"[X0,D2,S3,S1,S2,D1,D0,D2,X0]"
route37,"[X0,S2,S1,X0]"
route38,"[X0,D2,S3,S1,D1,D0,X0]"
route39,"[X0,D2,D0,S0,D0,D1,X0]"
route40,"[X0,D2,S3,S1,S2,D1,D2,X0]"
route41,"[X0,D2,S3,D2,X0]"
route42,"[X0,S3,D0,D1,X0]"
route43,"[X0,S3,S2,S1,D1,D0,X0]"
route44,"[X0,S1,D1,X0]"
route45,"[X0,D2,S2,S1,X0]"
route46,"[X0,S3,S1,S2,X0]"
route47,"[X0,S2,S1,S3,S0,X0]"
route48,"[X0,D2,S1,D0,X0]"
route49,"[X0,D2,S3,S2,X0]"
route50,"[X0,S0,D1,X0]"
route51,"[X0,D2,S2,D1,X0]"
route52,"[X0,D2,S2,S3,S0,X0]"
route53,"[X0,S3,S2,S1,D1,D0,D2,X0]"
route54,"[X0,D2,S3,D0,D2,X0]"
route55,"[X0,S3,S1,D1,D2,X0]"
route56,"[X0,D2,S0,X0]"
route57,"[X0,D2,S2,S1,D0,X0]"
route58,"[X0,S2,S3,D0,D2,X0]"
route59,"[X0,S3,S1,S2,D1,D0,D2,X0]"
route60,"[X0,D2,S2,X0]"
route61,"[X0,D2,D0,X0]"
route62,"[X0,S1,D1,D0,X0]"
route63,"[X0,D2,S3,D1,X0]"
route64,"[X0,D0,X0]"
route65,"[X0,D2,D1,D0,S0,D1,D2,X0]"
route66,"[X0,D2,S2,S1,S3,D0,D1,X0]"
route67,"[X0,D2,D1,D0,S0,D0,D1,X0]"
route68,"[X0,S1,X0]"
route69,"[X0,D2,S1,S2,D2,D0,X0]"
route70,"[X0,D2,S3,S2,D1,D0,X0]"
route71,"[X0,D2,S3,D0,D1,X0]"
route72,"[X0,D2,S0,D0,X0]"
route73,"[X0,D2,D0,S0,X0]"
route74,"[X0,D2,S2,D2,X0]"
route75,"[X0,S2,S1,D1,D0,X0]"
route76,"[X0,D2,S2,D1,D2,X0]"
route77,"[X0,D2,S2,S3,D2,D1,X0]"
route78,"[X0,S2,S1,D0,X0]"
route79,"[X0,D2,S1,S2,D1,D2,X0]"
route80,"[X0,D2,S1,S3,D0,X0]"
route81,"[X0,S3,S2,X0]"
route82,"[X0,S2,S3,D2,X0]"
route83,"[X0,S2,D1,D0,X0]"
route84,"[X0,S2,S3,D0,D1,X0]"
route85,"[X0,D2,S1,D0,D2,X0]"
route86,"[X0,D2,S2,S1,S3,X0]"
route87,"[X0,D2,S2,S3,D0,D1,X0]"
route88,"[X0,S3,S0,X0]"
route89,"[X0,S3,D2,X0]"
route90,"[X0,D2,S2,S3,D2,D0,D1,X0]"
