Comment,S=3_D=4_X=2(0)_9
Site, X, Y, Vertex
X0,3.6,3.4,0
X1,7.2,5.3,1
Supplier, X, Y, Vertex
S0,6.3,4.6,2
S1,3.5,4.8,3
S2,1.9,3.8,4
Destination, X, Y, Vertex
D0,8.2,3.7,5
D1,7.1,7.5,6
D2,4.1,2.0,7
D3,5.0,3.0,8
Order, To, Qty, ect, ldt,
S1,D0,3,0,600,0
S0,D3,2,0,600,1
S1,D2,3,0,600,2
S0,D1,1,0,600,3
S2,D3,2,0,600,4
S2,D2,3,0,600,5
S2,D0,3,0,600,6
S1,D1,2,0,600,7
S1,D3,1,0,600,8
Routes
route0,"[X0,D3,S0,D0,D2,S2,D2,X0]"
route1,"[X0,S2,D1,X1,X1,S0,S1,X0]"
route2,"[X1,D0,S0,D3,S1,D1,D0,X1]"
route3,"[X1,S0,D1,X1]"
route4,"[X0,S0,D0,S0,X0]"
route5,"[X0,S2,D2,D0,S0,D2,X0]"
route6,"[X0,D2,D3,S0,D1,X0]"
route7,"[X0,D0,S0,X0]"
route8,"[X1,D0,S0,D3,D2,X0,X0,S1,X1]"
route9,"[X0,S2,S1,D1,S0,D1,X0]"
route10,"[X0,D3,S0,D1,X0]"
route11,"[X0,X1,X1,D1,S0,S1,X0]"
route12,"[X0,S2,D2,S0,D2,X0]"
route13,"[X0,S1,S2,D2,D0,X0]"
route14,"[X1,S0,S2,D3,D1,X1]"
route15,"[X1,D2,S0,X1]"
route16,"[X0,S2,S1,D1,D3,S1,X0]"
route17,"[X0,S2,S1,D3,X0]"
route18,"[X0,S2,S0,D0,D1,S1,X0]"
route19,"[X1,S1,S2,D2,S0,D0,S0,X1]"
route20,"[X1,D0,S0,D3,S2,D2,D1,X1]"
route21,"[X0,S2,D3,D0,X1,X1,S0,X0]"
route22,"[X0,S2,D3,X0]"
route23,"[X0,D2,D3,X1,X1,D1,X1,X1,S0,S1,X0]"
route24,"[X0,S1,S0,X0]"
route25,"[X0,D2,D3,X1,X1,D1,S1,X0]"
route26,"[X1,S0,D0,S1,D2,D1,X1]"
route27,"[X1,S0,D2,S0,X1]"
route28,"[X1,S0,S2,D3,D0,S0,X1]"
