Comment,S25 D25 X4(2) 50% cover_341
Site, X, Y, Vertex
X0,4.6,7.0,0
X1,5.8,3.8,1
X2,1.8,8.0,2
X3,7.8,4.3,3
Supplier, X, Y, Vertex
S0,4.5,8.8,4
S1,0.5,6.5,5
S2,2.2,8.6,6
S3,1.1,8.9,7
S4,2.3,6.4,8
S5,1.1,8.6,9
S6,1.7,9.95,10
S7,2.5,7.7,11
S8,5.9,4.6,12
S9,5.3,6.5,13
S10,4.0,8.2,14
S11,5.9,2.9,15
S12,6.4,4.0,16
S13,5.2,8.4,17
S14,2.4,7.5,18
S15,5.8,3.4,19
S16,1.0,8.6,20
S17,4.4,5.5,21
S18,4.3,6.6,22
S19,5.8,4.9,23
S20,5.7,6.5,24
S21,4.7,5.7,25
S22,6.2,4.0,26
S23,2.9,7.1,27
S24,6.6,4.2,28
Destination, X, Y, Vertex
D0,4.3,7.2,29
D1,7.5,4.1,30
D2,8.6,5.2,31
D3,8.2,3.5,32
D4,7.4,5.4,33
D5,5.8,4.6,34
D6,4.5,6.9,35
D7,7.3,3.8,36
D8,4.6,6.7,37
D9,6.9,4.5,38
D10,4.9,4.7,39
D11,5.7,4.7,40
D12,7.9,4.2,41
D13,4.7,7.0,42
D14,3.4,6.1,43
D15,7.5,4.2,44
D16,9.0,2.6,45
D17,5.1,7.7,46
D18,5.8,3.0,47
D19,6.1,4.2,48
D20,4.5,3.0,49
D21,4.9,2.6,50
D22,8.7,3.6,51
D23,6.1,2.4,52
D24,6.6,5.8,53
Order, To, Qty, ect, ldt,
S16,D10,3,0,900,0
S19,D17,3,0,900,1
S17,D3,2,0,900,2
S23,D9,3,0,900,3
S21,D8,1,0,900,4
S8,D22,2,0,900,5
S9,D19,3,0,900,6
S10,D4,3,0,900,7
S11,D1,1,0,900,8
S0,D0,2,0,900,9
S14,D7,1,0,900,10
S12,D0,1,0,900,11
S4,D22,1,0,900,12
S5,D21,3,0,900,13
S16,D19,3,0,900,14
S19,D2,1,0,900,15
S18,D16,1,0,900,16
S23,D15,1,0,900,17
S21,D6,1,0,900,18
S8,D12,1,0,900,19
S11,D6,1,0,900,20
S9,D15,1,0,900,21
S24,D5,1,0,900,22
S15,D2,1,0,900,23
S13,D2,2,0,900,24
S0,D20,3,0,900,25
S4,D24,3,0,900,26
S2,D24,1,0,900,27
S7,D6,1,0,900,28
S20,D5,2,0,900,29
S18,D22,2,0,900,30
S17,D21,1,0,900,31
S23,D8,3,0,900,32
S10,D10,3,0,900,33
S9,D3,2,0,900,34
S10,D15,1,0,900,35
S4,X2,1,0,900,36
S2,D4,1,0,900,37
S3,D1,3,0,900,38
S6,D7,3,0,900,39
S4,D0,1,0,900,40
S5,D3,3,0,900,41
S17,D0,3,0,900,42
S8,D19,2,0,900,43
S11,D15,3,0,900,44
S24,D10,1,0,900,45
S12,D3,2,0,900,46
S1,D18,1,0,900,47
S13,D18,2,0,900,48
S4,D21,2,0,900,49
S6,D12,3,0,900,50
S21,D9,3,0,900,51
S19,D8,2,0,900,52
S20,D7,1,0,900,53
S18,D0,3,0,900,54
S21,D17,1,0,900,55
