Comment,S=4_D=3_X=2(1)_7
Site, X, Y, Vertex
X0,7.9,2.2,0
X1,3.3,6.7,1
Supplier, X, Y, Vertex
S0,9.7,4.2,2
S1,7.0,1.1,3
S2,4.7,7.3,4
S3,2.0,8.7,5
Destination, X, Y, Vertex
D0,7.0,1.3,6
D1,3.1,4.1,7
Order, To, Qty, ect, ldt,
S0,D0,1,0,600,0
S1,D1,3,0,600,1
S3,X1,1,0,600,2
S2,D0,1,0,600,3
S2,X1,3,0,600,4
S1,D0,3,0,600,5
S0,D1,3,0,600,6
Routes
route0,"[X1,D0,X0,X0,X1]"
route1,"[X1,D0,S1,D0,X1]"
route2,"[X0,D0,X1,X1,S2,X0]"
route3,"[X1,S0,D0,S1,X0,X0,X1]"
route4,"[X1,D1,D0,S1,X0,X0,S2,X1]"
route5,"[X0,D0,S0,S2,X1,X1,D1,D0,S1,X0]"
route6,"[X0,D1,S3,D1,X0]"
route7,"[X0,S0,D0,S1,X0]"
route8,"[X1,S0,D0,X1]"
route9,"[X1,S3,D0,S1,X0,X0,X1]"
route10,"[X0,S2,X1,X1,D0,S1,X0]"
route11,"[X1,S0,D0,S1,X0,X0,S2,X1]"
route12,"[X1,S0,S2,X1]"
route13,"[X0,D0,S1,X1,X1,S2,S0,X0]"
route14,"[X0,D0,S2,X0]"
route15,"[X0,D0,S1,D0,X0]"
route16,"[X1,D1,S0,D0,X1]"
route17,"[X0,S2,X1,X1,D0,X0]"
route18,"[X0,D0,D1,X1,X1,S3,S2,X0]"
route19,"[X1,S3,S2,X1]"
route20,"[X0,S3,D0,X0]"
route21,"[X0,D0,S1,S0,X0]"
route22,"[X0,S1,D0,S1,X0]"
route23,"[X1,S3,D0,X1]"
route24,"[X1,S2,X0,X0,S1,D0,D1,S2,X1]"
route25,"[X0,D0,S2,D1,X0]"
route26,"[X1,S2,X0,X0,D0,S1,X0,X0,X1]"
route27,"[X0,D0,D1,S3,D0,S1,X0]"
route28,"[X1,S2,X0,X0,D0,X1]"
route29,"[X1,S1,S0,D1,S2,X1]"
route30,"[X0,D0,D1,S3,D1,S1,X0]"
route31,"[X0,X1,X1,S3,S2,X0]"
route32,"[X0,D1,X0]"
route33,"[X0,D0,S1,X1,X1,S3,S2,X0]"
route34,"[X0,S2,D0,X0]"
route35,"[X1,D1,S0,X1]"
route36,"[X0,D0,S0,X1,X1,X0]"
route37,"[X0,D0,D1,X1,X1,S3,X0]"
route38,"[X0,S2,X0]"
route39,"[X0,D0,D1,S3,D1,X0]"
route40,"[X1,S3,X1]"
route41,"[X0,S3,X1,X1,X0]"
route42,"[X1,S3,S2,S0,X0,X0,S1,X1]"
route43,"[X0,S1,D0,X0]"
route44,"[X0,D0,S1,X1,X1,X0]"
route45,"[X1,D1,D0,X0,X0,X1]"
route46,"[X1,D1,D0,X1]"
route47,"[X0,S0,X1,X1,X0]"
route48,"[X1,D0,X0,X0,S1,X1]"
route49,"[X0,D0,S1,X1,X1,S2,X0]"
route50,"[X1,S1,X1]"
route51,"[X0,S3,D1,S1,X0]"
route52,"[X0,S1,S0,X0]"
route53,"[X0,D0,S1,D0,S1,X0]"
route54,"[X1,S2,X0,X0,D0,D1,S2,X1]"
route55,"[X1,S3,D1,X1]"
route56,"[X0,S0,D1,S1,X0]"
route57,"[X1,S2,X0,X0,D0,S1,X0,X0,S2,X1]"
route58,"[X0,D0,S2,X1,X1,X0]"
route59,"[X0,S0,D0,X0]"
route60,"[X1,S2,X0,X0,X1]"
route61,"[X1,S2,D0,S1,X0,X0,S2,X1]"
route62,"[X0,X1,X1,S2,X0]"
route63,"[X0,S0,D1,S1,D1,X0]"
route64,"[X0,D0,S0,S2,S3,X1,X1,D1,D0,S1,X0]"
route65,"[X0,S2,D0,S1,X0]"
route66,"[X1,D1,D0,X0,X0,S1,X1]"
route67,"[X1,D1,D0,S1,D0,S1,X0,X0,X1]"
route68,"[X0,D0,D1,S3,D0,X0]"
route69,"[X0,S0,S2,S3,X1,X1,D1,D0,S1,X0]"
route70,"[X0,D0,S1,D1,S0,D0,X0]"
route71,"[X1,S3,S2,S0,X0,X0,S1,D0,D1,X1]"
route72,"[X0,D0,D1,S3,X0]"
route73,"[X0,D0,D1,X1,X1,X0]"
route74,"[X1,D1,D0,S1,D0,S1,X1]"
route75,"[X0,S0,X1,X1,D1,X0]"
route76,"[X0,S2,X1,X1,D1,D0,X0]"
route77,"[X1,S2,S0,X0,X0,S1,X1]"
route78,"[X1,S1,D0,X1]"
route79,"[X0,D0,D1,S3,X1,X1,X0]"
route80,"[X0,S1,X1,X1,S3,S2,S0,X0]"
route81,"[X1,D1,D0,S1,S0,D1,X1]"
route82,"[X0,D1,S1,X0]"
route83,"[X0,D0,S0,D1,S1,D1,X0]"
route84,"[X0,S1,D1,S0,D0,S1,X0]"
route85,"[X0,S0,D1,S1,D0,X0]"
route86,"[X1,D1,D0,S1,D0,X1]"
route87,"[X0,D1,S3,X0]"
route88,"[X1,S2,X0,X0,D0,S1,X1]"
route89,"[X0,S3,D0,S1,X0]"
route90,"[X1,D0,S1,D1,X1]"
route91,"[X0,S3,X0]"
route92,"[X0,D0,S1,X0]"
route93,"[X0,D0,S2,X1,X1,D1,D0,S1,X0]"
route94,"[X0,S1,X1,X1,S2,S0,X0]"
route95,"[X0,S0,X1,X1,D1,S1,X0]"
route96,"[X0,X1,X1,S3,X0]"
route97,"[X0,S0,X0]"
route98,"[X1,S2,S3,X1]"
route99,"[X0,S2,X1,X1,X0]"
route100,"[X1,D1,X1]"
route101,"[X1,S2,S0,X0,X0,S1,D0,D1,X1]"
route102,"[X1,S2,D1,X1]"
route103,"[X1,S2,X1]"
route104,"[X1,D1,S0,S2,X1]"
route105,"[X1,D1,S0,S1,X1]"
route106,"[X0,D0,D1,X0]"
route107,"[X0,D1,S3,X1,X1,X0]"
route108,"[X0,D0,S0,D1,X0]"
route109,"[X1,S2,X0,X0,S1,D0,D1,X1]"
route110,"[X1,S1,D1,X1]"
route111,"[X0,D0,S0,X1,X1,D1,S1,X1,X1,X0]"
route112,"[X0,S2,D1,S1,X0]"
route113,"[X1,S2,D0,S1,X0,X0,X1]"
route114,"[X1,D1,D0,S1,X1]"
route115,"[X0,D0,S1,D1,S0,X1,X1,X0]"
route116,"[X1,S0,X1]"
route117,"[X1,D1,S0,D1,X1]"
route118,"[X1,X0,X0,S1,X1]"
route119,"[X0,S3,D1,X0]"
route120,"[X1,D0,S1,X1]"
route121,"[X1,D1,D0,S1,S0,D1,S2,X1]"
route122,"[X1,S1,D0,S1,X0,X0,S2,X1]"
route123,"[X0,S2,X1,X1,D1,D0,S1,X0]"
route124,"[X0,S0,D1,S1,D1,S1,X0]"
route125,"[X0,S0,X1,X1,D1,S1,X1,X1,X0]"
route126,"[X1,S2,S0,X1]"
route127,"[X0,S2,D1,X0]"
route128,"[X1,D0,S1,X0,X0,X1]"
route129,"[X1,S2,X0,X0,D0,D1,X1]"
route130,"[X1,S2,S0,X0,X0,S1,D0,D1,S2,X1]"
route131,"[X1,S2,D0,X1]"
route132,"[X1,S2,X0,X0,S1,X1]"
route133,"[X0,S1,D1,X0]"
route134,"[X0,D0,D1,X1,X1,S2,X0]"
route135,"[X1,D1,D0,S1,X0,X0,X1]"
route136,"[X1,D1,D0,S1,D1,X1]"
route137,"[X0,D1,S3,D0,X0]"
route138,"[X0,S0,D1,X0]"
