Comment,S=4_D=4_X=2(1)_15
Site, X, Y, Vertex
X0,4.8,5.8,0
X1,9.4,6.1,1
Supplier, X, Y, Vertex
S0,4.5,5.9,2
S1,4.3,3.5,3
S2,5.4,7.3,4
S3,4.8,6.6,5
Destination, X, Y, Vertex
D0,9.1,8.1,6
D1,9.95,8.3,7
D2,9.0,1.9,8
Order, To, Qty, ect, ldt,
S0,X1,1,0,600,0
S1,D2,1,0,600,1
S3,D2,2,0,600,2
S1,D0,2,0,600,3
S3,D0,1,0,600,4
S3,D1,3,0,600,5
S3,X1,1,0,600,6
S2,X1,2,0,600,7
S2,D1,3,0,600,8
S1,X1,1,0,600,9
S2,D0,1,0,600,10
S2,D2,3,0,600,11
S1,D1,1,0,600,12
S0,D2,2,0,600,13
S0,D0,1,0,600,14
Routes
route0,"[X1,D1,D0,S2,D2,X1]"
route1,"[X1,D1,D0,X0,X0,D2,X1]"
route2,"[X1,S0,D0,X1]"
route3,"[X0,S0,D2,S3,S0,X0]"
route4,"[X0,S2,D1,S3,X0]"
route5,"[X0,S0,S3,D2,S0,X0]"
route6,"[X0,S2,D0,S0,X0]"
route7,"[X0,D0,D1,S2,S3,S0,X0]"
route8,"[X0,S0,D1,X1,X1,S1,D0,X1,X1,S2,S3,S0,X0]"
route9,"[X0,S0,S3,X1,X1,D2,S0,X0]"
route10,"[X1,S3,S2,D0,D1,X1]"
route11,"[X0,S0,S1,X1,X1,D1,S2,D1,X1,X1,S2,S3,S0,X0]"
route12,"[X0,S3,D2,S0,X0]"
route13,"[X1,D1,D0,S3,S1,D0,X1]"
route14,"[X0,S3,X1,X1,X0]"
route15,"[X0,S0,S3,D0,S2,S3,S0,X0]"
route16,"[X0,S3,S2,D0,X0]"
route17,"[X0,S1,D0,S2,D1,S3,D1,S2,S3,S0,X0]"
route18,"[X0,S0,S3,S2,D0,D1,X1,X1,S1,X0]"
route19,"[X0,S2,D2,X0]"
route20,"[X0,S1,D0,S2,D0,S3,D0,S3,S0,X0]"
route21,"[X0,S0,D1,S2,S3,S0,X0]"
route22,"[X0,S0,S1,X1,X1,D0,X0]"
route23,"[X0,D2,S3,S0,X0]"
route24,"[X1,D0,S3,S2,D0,D1,X1]"
route25,"[X0,S0,S3,X1,X1,D2,S3,S0,X0]"
route26,"[X1,D0,S2,S3,S0,X0,X0,S1,X1]"
route27,"[X1,S2,S1,D2,D1,X1]"
route28,"[X0,D0,D1,X1,X1,X0]"
route29,"[X0,S2,D1,S3,S0,X0]"
route30,"[X0,X1,X1,D0,S3,S0,X0]"
route31,"[X0,S0,D1,X1,X1,S1,D0,X0]"
route32,"[X0,S0,S3,D1,X1,X1,X0]"
route33,"[X1,D0,S0,D2,X1]"
route34,"[X0,S2,D2,S0,X0]"
route35,"[X1,S1,S3,D2,X1]"
route36,"[X0,S0,S2,D0,S3,S0,X0]"
route37,"[X0,D1,S3,X0]"
route38,"[X0,S2,D2,S1,D2,S3,S0,X0]"
route39,"[X0,X1,X1,D0,S0,X0]"
route40,"[X0,S1,D0,S2,D0,S3,D0,X0]"
route41,"[X0,S1,D1,S2,S3,S0,X0]"
route42,"[X0,S0,X0]"
route43,"[X0,S2,X1,X1,X0]"
route44,"[X1,D1,X1]"
route45,"[X0,S0,S1,D2,X1,X1,S2,S3,X1,X1,D2,S0,X0]"
