Comment,S=4_D=2_X=2(1)_8,,,,
Site, X, Y, Vertex,,
X0,6.7,8.6,0,,
X1,0.3,6.3,1,,
Supplier, X, Y, Vertex,,
S0,2,7,2,,
S1,5.7,6.7,3,,
S2,9.95,8,4,,
S3,5.5,9.95,5,,
Destination, X, Y, Vertex,,
D0,5.8,9.9,6,,
Order, To, Qty, ect, ldt,
S0,D0,1,0,600,0
S0,X1,1,0,600,1
S3,X1,1,0,600,2
S3,D0,2,0,600,3
S2,D0,3,0,600,4
S2,X1,3,0,600,5
S1,X1,1,0,600,6
S1,D0,2,0,600,7
Routes,,,,,
route0,"[X1,D0,X0,X0,X1]",,,,
route1,"[X0,S3,D0,S3,X0]",,,,
route2,"[X1,D0,S3,X0,X0,S0,X1]",,,,
route3,"[X1,S0,S3,X0,X0,S2,S1,X1]",,,,
route4,"[X1,S2,D0,S3,X0,X0,S1,S0,X1]",,,,
route5,"[X1,S0,D0,X1]",,,,
route6,"[X0,D0,S3,D0,S2,D0,S3,X0]",,,,
route7,"[X1,D0,X0,X0,D0,S0,X1]",,,,
route8,"[X0,D0,S0,X0]",,,,
route9,"[X1,S0,S2,X1]",,,,
route10,"[X1,S0,S1,X0,X0,S3,X1]",,,,
route11,"[X1,S0,S1,X0,X0,D0,S3,X1]",,,,
route12,"[X1,X0,X0,D0,X1]",,,,
route13,"[X0,S3,D0,X0]",,,,
route14,"[X0,S1,S0,X1,X1,S3,D0,S3,X0]",,,,
route15,"[X1,S0,S1,X0,X0,D0,X1]",,,,
route16,"[X1,S3,D0,X1]",,,,
route17,"[X1,S2,D0,S3,X0,X0,S0,X1]",,,,
route18,"[X0,S3,S0,X1,X1,S1,S2,X0]",,,,
route19,"[X1,X0,X0,D0,S3,X0,X0,S0,X1]",,,,
route20,"[X0,S2,D0,X0]",,,,
route21,"[X0,D0,S3,S0,X1,X1,S1,S2,X0]",,,,
route22,"[X0,D0,S0,X1,X1,X0]",,,,
route23,"[X0,S2,X0]",,,,
route24,"[X0,S1,S2,X0]",,,,
route25,"[X1,S3,D0,S3,X0,X0,S0,X1]",,,,
route26,"[X1,S1,D0,S3,S0,X1]",,,,
route27,"[X1,S3,X1]",,,,
route28,"[X0,S3,X1,X1,X0]",,,,
route29,"[X1,S0,S1,S2,X0,X0,S3,X1]",,,,
route30,"[X0,S1,D0,X0]",,,,
route31,"[X1,S0,D0,S3,X0,X0,S0,X1]",,,,
route32,"[X0,D0,S1,X1,X1,X0]",,,,
route33,"[X0,S0,X1,X1,X0]",,,,
route34,"[X1,S1,X1]",,,,
route35,"[X0,S1,S0,X1,X1,D0,S3,X0]",,,,
route36,"[X0,D0,S1,S0,X1,X1,D0,X0]",,,,
route37,"[X1,D0,X0,X0,D0,S3,S0,X1]",,,,
route38,"[X0,S2,S1,S0,X1,X1,S3,D0,X0]",,,,
route39,"[X1,S0,S1,X0,X0,D0,S3,X0,X0,S1,S0,X1]",,,,
route40,"[X0,D0,S2,X1,X1,X0]",,,,
route41,"[X1,S3,D0,S3,S0,X1]",,,,
route42,"[X0,S0,D0,X0]",,,,
route43,"[X0,S3,D0,S2,D0,X0]",,,,
route44,"[X0,S2,S1,S0,X1,X1,S3,D0,S3,X0]",,,,
route45,"[X0,D0,S3,X1,X1,X0]",,,,
route46,"[X1,S0,D0,S0,X1]",,,,
route47,"[X1,S3,D0,S0,X1]",,,,
route48,"[X0,D0,S3,D0,S2,D0,X0]",,,,
route49,"[X0,D0,S2,S1,X1,X1,S0,S3,X0]",,,,
route50,"[X1,S1,D0,S3,X0,X0,S0,X1]",,,,
route51,"[X1,S0,S1,X0,X0,X1]",,,,
route52,"[X0,D0,S0,D0,X0]",,,,
route53,"[X0,D0,S1,X1,X1,S0,X0]",,,,
route54,"[X0,S3,X1,X1,S1,S2,X0]",,,,
route55,"[X1,S2,D0,S0,X1]",,,,
route56,"[X1,S2,D0,S3,S0,X1]",,,,
route57,"[X1,S0,X0,X0,X1]",,,,
route58,"[X1,D0,S3,D0,S3,S0,X1]",,,,
route59,"[X0,D0,S3,S1,X0]",,,,
route60,"[X1,S0,D0,S3,S0,X1]",,,,
route61,"[X1,D0,S3,D0,S0,X1]",,,,
route62,"[X1,S1,D0,S0,X1]",,,,
route63,"[X0,D0,S1,X1,X1,S0,S3,X0]",,,,
route64,"[X1,X0,X0,D0,S0,X1]",,,,
route65,"[X1,S1,D0,X1]",,,,
route66,"[X1,D0,S3,D0,X1]",,,,
route67,"[X1,S1,S0,X1]",,,,
route68,"[X0,S1,S0,X1,X1,X0]",,,,
route69,"[X0,S0,D0,S3,X0]",,,,
route70,"[X1,D0,S2,D0,X1]",,,,
route71,"[X0,D0,S3,D0,S3,X0]",,,,
route72,"[X1,D0,S3,S0,X1]",,,,
route73,"[X1,S0,S1,X0,X0,D0,S3,S0,X1]",,,,
route74,"[X0,D0,S1,S0,X1,X1,X0]",,,,
route75,"[X0,S3,X0]",,,,
route76,"[X0,S3,S1,S2,X0]",,,,
route77,"[X0,S0,X0]",,,,
route78,"[X0,S2,S1,X1,X1,S0,S3,X0]",,,,
route79,"[X0,D0,S3,X0]",,,,
route80,"[X0,S2,X1,X1,X0]",,,,
route81,"[X1,S2,X1]",,,,
route82,"[X0,S3,S1,X0]",,,,
route83,"[X1,X0,X0,D0,S3,S0,X1]",,,,
route84,"[X0,D0,S3,S1,S2,X0]",,,,
route85,"[X1,S0,X1]",,,,
route86,"[X1,S0,S3,X0,X0,S1,X1]",,,,
route87,"[X0,D0,S3,D0,X0]",,,,
route88,"[X1,S0,S1,S2,X0,X0,X1]",,,,
route89,"[X0,S1,D0,S3,X0]",,,,
route90,"[X0,D0,X1,X1,S0,X0]",,,,
route91,"[X0,S1,S0,X1,X1,D0,X0]",,,,
route92,"[X0,D0,S0,D0,S3,X0]",,,,
route93,"[X1,D0,X0,X0,D0,X1]",,,,
route94,"[X1,S0,S1,X0,X0,D0,S0,X1]",,,,
route95,"[X1,D0,S3,X1]",,,,
route96,"[X0,S1,S3,X0]",,,,
route97,"[X1,S2,D0,X1]",,,,
route98,"[X0,D0,S1,S0,X1,X1,S3,D0,X0]",,,,
route99,"[X0,S2,D0,S3,X0]",,,,
route100,"[X0,S2,S1,D0,S3,X0]",,,,
route101,"[X1,D0,S0,X1]",,,,
route102,"[X0,D0,S3,X1,X1,S1,S2,X0]",,,,
route103,"[X1,S0,S1,S2,X1]",,,,
route104,"[X0,S2,S1,S0,X1,X1,S3,D0,S3,S1,X0]",,,,
route105,"[X1,S0,S1,S2,X0,X0,D0,S3,X1]",,,,
route106,"[X0,S2,S1,D0,X0]",,,,
route107,"[X1,D0,S2,X1]",,,,
route108,"[X1,S1,D0,S3,X0,X0,S1,S0,X1]",,,,
route109,"[X1,D0,S2,D0,S3,X0,X0,S0,X1]",,,,
route110,"[X1,D0,S2,D0,S0,X1]",,,,
route111,"[X0,D0,X0]",,,,
route112,"[X1,S0,X0,X0,S3,X1]",,,,
route113,"[X0,X1,X1,S0,X0]",,,,
route114,"[X0,S1,X1,X1,S0,X0]",,,,
route115,"[X0,S1,X0]",,,,
route116,"[X0,D0,X1,X1,X0]",,,,
route117,"[X0,S3,D0,S2,D0,S3,X0]",,,,
route118,"[X0,X1,X1,X0]",,,,
route119,"[X1,S0,X0,X0,S1,X1]",,,,
route120,"[X0,S1,X1,X1,X0]",,,,
route121,"[X0,S1,X1,X1,S0,S3,X0]",,,,
route122,"[X1,S0,S3,X1]",,,,
route123,"[X0,S1,S0,X1,X1,S3,D0,X0]",,,,
route124,"[X0,D0,S2,S1,S0,X1,X1,S3,D0,X0]",,,,
route125,"[X1,D0,X1]",,,,
route126,"[X1,S0,S1,X0,X0,D0,S3,X0,X0,S0,X1]",,,,
route127,"[X1,S0,S1,X1]",,,,
route128,"[X1,D0,S2,D0,S3,S0,X1]",,,,
route129,"[X0,D0,S2,S1,S0,X1,X1,S3,D0,S3,X0]",,,,
route130,"[X1,X0,X0,X1]",,,,
route131,"[X1,S0,X1]",,,,
