Comment,S=3_D=2_X=2(1)_6
Site, X, Y, Vertex
X0,2.2,2.3,0
X1,10.0,4.2,1
Supplier, X, Y, Vertex
S0,9.95,1.9,2
S1,9.95,6.6,3
S2,0.05,0.05,4
Destination, X, Y, Vertex
D0,4.4,4.6,5
Order, To, Qty, ect, ldt,
S0,X1,3,0,600,0
S0,D0,1,0,600,1
S2,X1,3,0,600,2
S2,D0,3,0,600,3
S1,D0,1,0,600,4
S1,X1,2,0,600,5
Routes
route0,"[X1,S1,S0,X1]"
route1,"[X0,D0,X1,X1,S0,X0]"
route2,"[X0,S0,X1,X1,X0]"
route3,"[X0,D0,S0,X1,X1,X0]"
route4,"[X1,X0,X0,D0,S1,X1]"
route5,"[X1,S1,X1]"
route6,"[X0,S2,X1,X1,D0,X0]"
route7,"[X0,S0,D0,X0]"
route8,"[X1,X0,X0,S2,S0,X1]"
route9,"[X0,D0,X0]"
route10,"[X1,D0,S2,D0,S1,X1]"
route11,"[X0,D0,S1,D0,X0]"
route12,"[X0,D0,S0,D0,X0]"
route13,"[X1,S2,D0,X1]"
route14,"[X0,S0,X0]"
route15,"[X0,S2,S0,X1,X1,S1,X0]"
route16,"[X0,S2,X1,X1,X0]"
route17,"[X0,D0,S1,X1,X1,S0,X0]"
route18,"[X1,S2,X1]"
route19,"[X1,S2,D0,S1,X1]"
route20,"[X0,D0,S0,X0]"
route21,"[X1,S0,D0,S1,X1]"
route22,"[X0,D0,S1,X1,X1,S0,S2,X0]"
route23,"[X0,D0,S1,X0]"
route24,"[X1,D0,X0,X0,D0,X1]"
route25,"[X1,S1,D0,S1,X1]"
route26,"[X1,S1,D0,X0,X0,S0,X1]"
route27,"[X0,X1,X1,S1,X0]"
route28,"[X1,X0,X0,D0,X1]"
route29,"[X1,D0,X0,X0,X1]"
route30,"[X1,S0,X1]"
route31,"[X1,S1,X0,X0,S2,S0,X1]"
route32,"[X1,S1,D0,X1]"
route33,"[X0,X1,X1,S0,X0]"
route34,"[X1,D0,S2,X1]"
route35,"[X1,D0,X0,X0,S2,X1]"
route36,"[X0,S1,X0]"
route37,"[X1,S1,D0,S0,X1]"
route38,"[X0,S0,X1,X1,S1,X0]"
route39,"[X1,X0,X0,S2,X1]"
route40,"[X1,S0,D0,S1,D0,S1,X1]"
route41,"[X0,X1,X1,S0,S2,X0]"
route42,"[X1,D0,S2,D0,X1]"
route43,"[X0,X1,X1,X0]"
route44,"[X1,S0,D0,X1]"
route45,"[X0,S1,X1,X1,X0]"
route46,"[X0,D0,X1,X1,S1,X0]"
route47,"[X1,D0,X0,X0,S0,X1]"
route48,"[X1,S0,S1,X1]"
route49,"[X1,S1,D0,X0,X0,S2,S0,X1]"
route50,"[X0,D0,X1,X1,S0,S2,X0]"
route51,"[X1,X0,X0,X1]"
route52,"[X0,S2,D0,X0]"
route53,"[X0,S2,X0]"
route54,"[X0,S1,X1,X1,S0,S2,X0]"
route55,"[X1,S0,D0,S1,D0,X1]"
route56,"[X1,D0,X0,X0,S2,S0,X1]"
route57,"[X0,S1,D0,X0]"
route58,"[X1,D0,X1]"
route59,"[X0,D0,S0,X1,X1,S1,X0]"
route60,"[X0,D0,X1,X1,X0]"
route61,"[X0,D0,S1,X1,X1,X0]"
route62,"[X1,S0,X1]"
route63,"[X0,D0,X0]"
Exit,
