qsd.s,qsd.d,qty,ect,ldt
11,29,2,872,999
18,52,2,109,326
10,48,2,207,339
4,44,2,791,971
16,47,2,619,769
11,39,3,254,421
28,0,2,507,657
26,45,1,717,924
25,53,3,468,713
27,50,2,639,806
8,36,3,690,850
12,42,2,296,481
8,45,1,717,924
15,37,3,600,757
20,29,2,872,999
15,33,3,359,529
23,46,3,454,596
21,32,1,585,792
14,40,1,533,705
24,48,1,207,339
20,39,3,254,421
27,39,3,254,421
8,43,1,717,909
6,53,3,468,713
23,42,3,296,481
15,36,1,690,850
13,34,1,830,987
16,31,3,191,308
23,38,2,725,870
15,51,2,263,468
17,43,3,717,909
24,46,2,454,596
16,33,1,359,529
4,49,1,886,1036
25,35,1,244,391
26,47,1,619,769
7,49,1,886,1036
13,48,3,207,339
5,51,2,263,468
11,51,3,263,468
20,34,3,830,987
19,38,2,725,870
24,29,2,872,999
17,38,1,725,870
5,41,2,162,307
22,35,3,244,391
6,49,1,886,1036
20,50,2,639,806
18,33,2,359,529
21,53,3,468,713
18,37,2,600,757
22,37,1,600,757
4,42,3,296,481
28,37,1,600,757
6,3,1,81,318
8,49,3,886,1036
13,50,1,639,806
10,0,2,507,657
9,0,1,507,657
13,44,3,791,971
19,43,1,717,909
15,41,1,162,307
22,53,1,468,713
17,45,1,717,924
6,42,3,296,481
27,42,1,296,481
9,43,1,717,909
8,53,1,468,713
7,33,3,359,529
13,32,2,585,792
28,39,2,254,421
10,44,1,791,971
18,47,3,619,769
15,44,3,791,971
14,44,3,791,971
21,47,2,619,769
11,52,2,109,326
25,52,3,109,326
16,3,1,81,318
22,31,2,191,308
27,40,3,533,705
17,33,1,359,529
8,30,3,332,567
7,36,2,690,850
12,36,1,690,850
23,33,2,359,529
14,41,2,162,307
13,40,2,533,705
11,31,1,191,308
23,31,3,191,308
12,43,1,717,909
9,36,1,690,850
10,35,2,244,391
18,3,3,81,318
28,45,1,717,924
16,46,3,454,596
5,3,2,81,318
24,49,3,886,1036
5,0,1,507,657
22,52,3,109,326
26,0,3,507,657
25,0,1,507,657
6,29,3,872,999
12,41,1,162,307
14,37,1,600,757
20,37,2,600,757
23,34,3,830,987
4,45,2,717,924
28,34,1,830,987
18,50,2,639,806
24,31,3,191,308
26,40,3,533,705
4,48,1,207,339
25,50,3,639,806
9,48,2,207,339
20,32,1,585,792
18,38,1,725,870
14,51,1,263,468
21,29,1,872,999
20,51,1,263,468
28,38,2,725,870
4,34,3,830,987
24,30,1,332,567
19,37,2,600,757
5,32,1,585,792
22,3,3,81,318
7,44,1,791,971
14,47,1,619,769
19,40,3,533,705
21,46,1,454,596
11,3,2,81,318
26,51,3,263,468
17,31,2,191,308
6,34,1,830,987
21,45,2,717,924
26,35,3,244,391
6,43,1,717,909
13,43,3,717,909
27,46,3,454,596
9,35,3,244,391
10,47,2,619,769
19,52,1,109,326
10,45,3,717,924
17,49,2,886,1036
19,32,3,585,792
7,30,2,332,567
5,30,3,332,567
12,30,2,332,567
27,38,3,725,870
14,32,3,585,792
