Comment,S=4_D=2_X=2(0)_7
Site, X, Y, Vertex
X0,6.7,1.3,0
X1,7.1,5.2,1
Supplier, X, Y, Vertex
S0,7.2,6.2,2
S1,8.5,4.7,3
S2,7.3,2.0,4
S3,5.7,4.7,5
Destination, X, Y, Vertex
D0,5.4,0.8,6
D1,7.3,1.1,7
Order, To, Qty, ect, ldt,
S0,D1,3,0,600,0
S0,D0,1,0,600,1
S3,D0,3,0,600,2
S3,D1,2,0,600,3
S2,D0,3,0,600,4
S1,D0,2,0,600,5
S1,D1,1,0,600,6
Routes
route0,"[X1,D0,X0,X0,X1]"
route1,"[X0,S2,S1,D1,D0,S2,X0]"
route2,"[X1,S0,S1,S2,D1,D0,X1]"
route3,"[X1,S0,S3,D0,X0,X0,S2,X1]"
route4,"[X0,S0,D1,S2,X0]"
route5,"[X0,D1,D0,X0]"
route6,"[X1,S0,S1,S2,D0,X0,X0,S2,X1]"
route7,"[X0,D1,S3,D1,X0]"
route8,"[X0,D1,S3,S0,D0,D1,X0]"
route9,"[X1,S0,S1,S2,D1,D0,S3,D0,X1]"
route10,"[X1,S0,D0,X1]"
route11,"[X1,D1,X0,X0,X1]"
route12,"[X0,S3,S0,D0,D1,X0]"
route13,"[X1,D1,X0,X0,D0,X0,X0,X1]"
route14,"[X1,S0,S1,S2,D1,X0,X0,S3,X1]"
route15,"[X0,D1,S1,X1,X1,S0,S3,S2,X0]"
route16,"[X0,D1,S0,D0,X0]"
route17,"[X1,X0,X0,D0,X1]"
route18,"[X0,S3,D0,X0]"
route19,"[X1,S3,D0,X1]"
route20,"[X1,X0,X0,D1,X0,X0,S2,X1]"
route21,"[X0,D1,S2,S1,D0,X0]"
route22,"[X0,S1,D1,S2,X0]"
route23,"[X0,S2,S3,D0,D1,X0]"
route24,"[X0,S2,S0,S1,D1,D0,X0]"
route25,"[X0,S0,S3,D0,D1,S2,X0]"
route26,"[X0,D1,S2,S0,D0,D1,X0]"
route27,"[X0,D1,X0]"
route28,"[X0,S2,D0,X0]"
route29,"[X1,S0,D0,X0,X0,S2,X1]"
route30,"[X0,S2,X0]"
route31,"[X0,D1,S2,S1,X1,X1,S3,X0]"
route32,"[X0,S1,X1,X1,S0,S3,S2,X0]"
