Comment,S100 D40 X12(4)_700
Site, X, Y, Vertex
X0,28.5,28.5,0
X1,13.5,31.1,1
X2,42.0,19.0,2
X3,36.6,34.6,3
X4,20.6,12.3,4
X5,34.4,15.1,5
X6,33.5,42.0,6
X7,19.8,40.4,7
X8,10.0,23.1,8
X9,10.6,12.5,9
X10,38.0,26.6,10
X11,9.8,37.0,11
Supplier, X, Y, Vertex
S0,32.8,32.0,12
S1,14.4,11.0,13
S2,13.3,38.7,14
S3,17.0,32.0,15
S4,13.6,33.3,16
S5,41.6,34.5,17
S6,11.3,36.3,18
S7,31.6,29.7,19
S8,33.9,36.6,20
S9,32.9,21.5,21
S10,11.8,12.4,22
S11,35.6,33.5,23
S12,41.5,25.8,24
S13,11.7,15.3,25
S14,11.6,32.0,26
S15,9.7,24.3,27
S16,16.1,31.5,28
S17,35.3,36.5,29
S18,11.0,8.5,30
S19,5.5,42.8,31
S20,13.2,20.6,32
S21,21.9,34.3,33
S22,34.6,35.3,34
S23,41.1,27.4,35
S24,34.9,29.7,36
S25,34.2,34.7,37
S26,16.0,18.0,38
S27,27.1,26.2,39
S28,29.7,26.0,40
S29,35.6,19.1,41
S30,14.3,10.0,42
S31,37.5,13.7,43
S32,19.1,42.0,44
S33,7.6,34.5,45
S34,7.9,33.9,46
S35,39.3,35.7,47
S36,27.9,35.7,48
S37,35.4,33.1,49
S38,8.9,14.5,50
S39,9.9,37.2,51
S40,33.2,15.1,52
S41,28.5,34.1,53
S42,32.2,29.3,54
S43,37.2,13.2,55
S44,12.1,31.4,56
S45,15.5,42.2,57
S46,16.6,40.7,58
S47,14.5,21.8,59
S48,2.0,26.8,60
S49,35.4,32.6,61
S50,38.3,25.2,62
S51,8.6,34.0,63
S52,30.1,28.0,64
S53,36.4,32.5,65
S54,13.7,39.4,66
S55,6.2,25.6,67
S56,35.4,17.0,68
S57,19.0,38.2,69
S58,36.2,26.4,70
S59,38.8,17.3,71
S60,20.2,36.1,72
S61,42.6,32.7,73
S62,38.7,32.3,74
S63,9.0,35.1,75
S64,38.6,19.3,76
S65,12.5,36.1,77
S66,8.9,30.0,78
S67,22.4,36.2,79
S68,10.7,33.2,80
S69,35.4,27.0,81
S70,9.8,38.3,82
S71,10.4,12.7,83
S72,8.7,40.8,84
S73,12.9,29.2,85
S74,19.7,27.2,86
S75,9.1,30.0,87
S76,30.5,26.8,88
S77,11.9,34.8,89
S78,8.1,36.6,90
S79,12.4,32.5,91
S80,40.0,27.4,92
S81,33.9,19.5,93
S82,30.4,26.8,94
S83,36.1,29.4,95
S84,27.1,29.4,96
S85,11.8,27.7,97
S86,12.3,33.4,98
S87,26.1,30.7,99
S88,43.2,21.9,100
S89,44.3,20.7,101
S90,36.9,21.6,102
S91,43.4,36.4,103
S92,16.6,15.7,104
S93,7.4,12.2,105
S94,14.2,34.6,106
S95,28.2,29.0,107
S96,39.4,26.4,108
S97,18.5,36.7,109
S98,37.0,38.0,110
S99,13.7,20.1,111
Destination, X, Y, Vertex
D0,39.7,20.2,112
D1,45.1,22.6,113
D2,34.6,40.4,114
D3,40.1,16.4,115
D4,20.3,46.3,116
D5,43.9,14.6,117
D6,15.8,43.0,118
D7,39.8,17.7,119
D8,25.1,42.1,120
D9,10.7,22.4,121
D10,4.1,13.9,122
D11,35.4,36.2,123
D12,46.9,20.0,124
D13,21.7,44.2,125
D14,36.7,33.0,126
D15,35.7,38.1,127
D16,27.3,9.7,128
D17,19.6,35.7,129
D18,32.3,16.6,130
D19,39.1,42.0,131
D20,34.7,44.5,132
D21,16.6,28.1,133
D22,29.9,41.1,134
D23,35.0,40.2,135
D24,31.3,9.3,136
D25,29.1,16.4,137
D26,17.7,31.6,138
D27,22.8,25.7,139
D28,29.4,42.0,140
D29,32.2,33.8,141
D30,41.7,18.8,142
D31,19.2,13.2,143
D32,33.0,8.4,144
D33,26.3,21.0,145
D34,36.9,10.5,146
D35,38.7,15.8,147
D36,11.8,14.9,148
D37,21.8,48.2,149
D38,23.7,4.9,150
D39,31.5,44.0,151
Order, To, Qty, ect, ldt,
S65,X3,2,0,900,0
S92,D22,1,0,900,1
S55,D36,2,0,900,2
S79,D32,2,0,900,3
S68,D1,3,0,900,4
S95,D9,2,0,900,5
S45,D35,2,0,900,6
S67,D31,1,0,900,7
S32,D10,3,0,900,8
S91,D36,3,0,900,9
S44,D2,2,0,900,10
S85,D1,2,0,900,11
S35,D5,1,0,900,12
S71,D17,3,0,900,13
S95,D4,2,0,900,14
S69,D32,3,0,900,15
S86,D21,2,0,900,16
S34,X0,2,0,900,17
S87,D23,2,0,900,18
S11,D21,3,0,900,19
S14,D11,1,0,900,20
S96,D19,2,0,900,21
S86,X0,2,0,900,22
S73,D19,2,0,900,23
S97,D30,1,0,900,24
S52,D29,3,0,900,25
S79,D7,3,0,900,26
S3,D10,3,0,900,27
S49,D0,2,0,900,28
S88,D29,2,0,900,29
S78,D34,2,0,900,30
S29,D27,2,0,900,31
S90,D27,1,0,900,32
S4,D36,3,0,900,33
S19,D15,3,0,900,34
S7,D21,1,0,900,35
S94,D15,2,0,900,36
S33,D2,3,0,900,37
S6,D4,3,0,900,38
S64,D12,3,0,900,39
S40,D36,2,0,900,40
S45,D10,2,0,900,41
S84,D36,3,0,900,42
S17,D16,2,0,900,43
S32,D1,2,0,900,44
S80,D9,2,0,900,45
S11,D4,2,0,900,46
S70,D8,2,0,900,47
S59,D3,3,0,900,48
S33,D34,1,0,900,49
S23,D35,2,0,900,50
S95,D21,1,0,900,51
S80,D1,3,0,900,52
S71,D4,2,0,900,53
S36,X4,2,0,900,54
S63,D39,2,0,900,55
S97,D1,2,0,900,56
S98,D6,3,0,900,57
S75,D30,2,0,900,58
S54,D14,2,0,900,59
S0,D31,3,0,900,60
S89,X5,1,0,900,61
S77,D8,3,0,900,62
S30,D7,3,0,900,63
S67,D26,3,0,900,64
S5,D33,1,0,900,65
S18,D19,3,0,900,66
S42,D18,2,0,900,67
S16,X4,3,0,900,68
S6,D12,3,0,900,69
S9,D37,2,0,900,70
S88,D31,2,0,900,71
S40,D24,3,0,900,72
S67,D14,3,0,900,73
S7,D25,3,0,900,74
S89,D13,1,0,900,75
S59,D37,3,0,900,76
S45,X5,3,0,900,77
S95,D38,1,0,900,78
S8,D1,3,0,900,79
S63,D32,2,0,900,80
S85,X5,3,0,900,81
S74,D24,1,0,900,82
S15,D8,2,0,900,83
S61,D26,1,0,900,84
S96,D35,3,0,900,85
S25,D9,3,0,900,86
S49,D20,1,0,900,87
S5,D8,2,0,900,88
S79,D23,2,0,900,89
S53,D30,1,0,900,90
S25,D25,2,0,900,91
S26,D2,1,0,900,92
S23,D13,2,0,900,93
S90,D39,2,0,900,94
S21,D29,2,0,900,95
S93,D17,2,0,900,96
S32,D23,1,0,900,97
S31,D13,1,0,900,98
S42,D33,2,0,900,99
S47,D10,2,0,900,100
S60,D24,3,0,900,101
S67,D13,3,0,900,102
S58,D21,1,0,900,103
S17,D33,3,0,900,104
S85,D6,3,0,900,105
S44,D25,3,0,900,106
S83,D10,2,0,900,107
S71,D38,3,0,900,108
S45,D37,3,0,900,109
S60,D30,2,0,900,110
S76,D36,2,0,900,111
S48,D18,1,0,900,112
S38,D35,1,0,900,113
S77,D2,3,0,900,114
S25,D34,1,0,900,115
S29,D21,2,0,900,116
S0,D37,1,0,900,117
S89,D35,3,0,900,118
S46,D37,1,0,900,119
S3,D25,2,0,900,120
S77,D21,2,0,900,121
S92,D14,2,0,900,122
S42,X0,2,0,900,123
S90,D20,3,0,900,124
S93,D3,2,0,900,125
S41,X5,2,0,900,126
S91,D5,1,0,900,127
S22,D29,3,0,900,128
S94,X0,3,0,900,129
S18,D29,3,0,900,130
S21,D34,3,0,900,131
S91,D25,3,0,900,132
S37,D13,2,0,900,133
S61,D31,3,0,900,134
S9,D18,3,0,900,135
S92,D32,3,0,900,136
S48,D16,1,0,900,137
S71,D28,2,0,900,138
S69,D31,3,0,900,139
S60,D38,1,0,900,140
S50,D25,3,0,900,141
S98,D33,2,0,900,142
S1,D14,2,0,900,143
S48,D3,3,0,900,144
S38,D17,3,0,900,145
S49,D14,2,0,900,146
S78,D8,2,0,900,147
S76,D20,3,0,900,148
S47,D24,2,0,900,149
S28,D2,1,0,900,150
S91,D34,1,0,900,151
S31,D23,2,0,900,152
S16,X3,2,0,900,153
S45,D30,3,0,900,154
S58,X3,3,0,900,155
S65,D36,3,0,900,156
S56,X0,2,0,900,157
S80,D7,3,0,900,158
S39,D10,1,0,900,159
S63,D11,3,0,900,160
S73,D26,2,0,900,161
S74,D27,3,0,900,162
S54,D22,3,0,900,163
S0,D32,1,0,900,164
S75,X3,1,0,900,165
S64,D9,1,0,900,166
S30,D1,1,0,900,167
S46,D0,1,0,900,168
S20,D23,3,0,900,169
S18,D9,2,0,900,170
S57,D31,2,0,900,171
S6,D32,2,0,900,172
S88,D32,3,0,900,173
S93,D38,1,0,900,174
S17,D6,2,0,900,175
S32,D14,2,0,900,176
S65,D31,3,0,900,177
S46,D18,2,0,900,178
S23,D30,1,0,900,179
S57,D20,2,0,900,180
S62,D25,3,0,900,181
S8,D7,2,0,900,182
S44,D37,1,0,900,183
S59,D30,3,0,900,184
S74,D37,1,0,900,185
S81,D3,2,0,900,186
S62,D5,2,0,900,187
S25,D38,1,0,900,188
S15,D28,2,0,900,189
S82,X3,1,0,900,190
S13,D34,2,0,900,191
S11,D0,2,0,900,192
S72,D6,3,0,900,193
S49,D26,3,0,900,194
S2,D19,1,0,900,195
S24,D24,1,0,900,196
S29,D7,1,0,900,197
S79,D29,2,0,900,198
S77,D11,1,0,900,199
S67,X4,2,0,900,200
S41,D14,1,0,900,201
S89,D37,3,0,900,202
S46,D35,3,0,900,203
S44,D35,2,0,900,204
S18,D28,3,0,900,205
S36,D16,2,0,900,206
S69,D38,1,0,900,207
S59,D1,2,0,900,208
S86,D3,1,0,900,209
S35,D22,2,0,900,210
S0,D6,1,0,900,211
S14,D10,2,0,900,212
S25,D8,3,0,900,213
S13,D23,1,0,900,214
S2,D0,1,0,900,215
S29,D28,3,0,900,216
S53,D23,2,0,900,217
S15,D13,1,0,900,218
S30,D27,2,0,900,219
S28,D5,3,0,900,220
S26,D33,3,0,900,221
S65,D0,2,0,900,222
S79,D34,3,0,900,223
S16,D15,1,0,900,224
S40,D17,3,0,900,225
S78,D33,2,0,900,226
S41,D7,2,0,900,227
S56,X4,3,0,900,228
S94,D20,1,0,900,229
S42,D22,1,0,900,230
S40,D12,3,0,900,231
S91,D16,1,0,900,232
S33,D39,3,0,900,233
S60,D1,1,0,900,234
S82,D8,1,0,900,235
S97,D2,2,0,900,236
S98,D4,3,0,900,237
S14,D19,1,0,900,238
S12,D15,1,0,900,239
S75,D4,3,0,900,240
S26,X0,2,0,900,241
S1,D8,1,0,900,242
S75,D5,2,0,900,243
S19,D33,3,0,900,244
S78,X0,2,0,900,245
S65,X5,3,0,900,246
S19,D29,3,0,900,247
S52,D13,3,0,900,248
S17,D11,2,0,900,249
S41,D0,2,0,900,250
S7,D14,1,0,900,251
S46,D7,2,0,900,252
S8,D24,3,0,900,253
S16,D17,2,0,900,254
S34,D25,3,0,900,255
S70,D20,2,0,900,256
S68,D24,1,0,900,257
S9,D15,3,0,900,258
S59,D23,1,0,900,259
S83,D14,2,0,900,260
S84,X5,1,0,900,261
S11,D9,1,0,900,262
S71,D25,3,0,900,263
S12,D34,3,0,900,264
S86,D39,3,0,900,265
S82,D38,1,0,900,266
S72,D1,2,0,900,267
S3,D5,3,0,900,268
S27,D17,2,0,900,269
S99,D9,2,0,900,270
S54,D21,3,0,900,271
S50,D20,3,0,900,272
S55,D23,3,0,900,273
S3,X5,2,0,900,274
S41,D19,2,0,900,275
S55,D15,3,0,900,276
S23,D31,2,0,900,277
S47,D7,2,0,900,278
S66,D39,1,0,900,279
S54,D2,1,0,900,280
S88,D37,3,0,900,281
S43,D27,3,0,900,282
S58,D13,3,0,900,283
S17,D0,3,0,900,284
S44,D26,2,0,900,285
S57,D26,2,0,900,286
S62,D33,3,0,900,287
S45,D29,2,0,900,288
S35,D39,3,0,900,289
S33,D27,1,0,900,290
S25,X4,3,0,900,291
S99,D2,2,0,900,292
S37,D19,3,0,900,293
S72,D30,1,0,900,294
S96,D15,1,0,900,295
S27,D3,2,0,900,296
S39,D3,1,0,900,297
S74,D17,2,0,900,298
S14,D36,2,0,900,299
S90,D1,3,0,900,300
S31,D39,3,0,900,301
S20,X3,1,0,900,302
S3,D12,3,0,900,303
S77,D1,1,0,900,304
S16,X0,1,0,900,305
S46,D5,3,0,900,306
S55,D12,2,0,900,307
S21,D39,2,0,900,308
S84,D7,3,0,900,309
S91,D12,1,0,900,310
S68,D32,1,0,900,311
S83,D18,1,0,900,312
S59,D7,2,0,900,313
S34,D27,1,0,900,314
