qsd.s,qsd.d,qty,ect,ldt
159,259,3,86,990
149,294,2,243,941
134,286,1,0,722
194,231,3,0,714
88,9,3,0,942
145,243,2,174,1024
93,1,1,55,871
100,261,3,0,668
209,293,3,0,944
40,249,3,0,1080
197,232,2,16,804
23,235,1,0,1079
28,267,2,0,914
102,229,1,0,736
211,297,1,156,964
34,232,1,16,804
149,262,2,239,1021
24,275,1,0,888
98,7,1,0,1079
28,241,3,0,876
27,288,1,0,1018
85,251,2,103,1071
21,242,1,10,1008
113,276,1,0,940
42,261,2,0,668
135,12,1,0,1079
165,261,3,0,668
139,295,3,10,1054
197,271,2,249,1043
33,260,3,60,744
180,294,2,243,941
107,266,2,0,748
218,251,3,103,1071
205,14,2,96,1002
159,6,3,0,874
216,296,1,0,994
144,260,3,60,744
162,236,2,0,1068
187,4,2,0,1080
31,253,3,0,804
195,240,1,75,1027
163,247,2,0,712
56,255,3,0,886
22,227,1,0,1212
46,257,2,40,920
125,14,1,96,1002
200,244,3,0,1012
165,286,3,0,722
96,230,2,30,1060
139,233,2,0,802
126,263,1,177,865
129,248,1,0,1048
28,265,3,0,864
216,270,1,185,937
90,253,3,0,804
184,286,1,0,722
163,297,3,156,964
47,231,1,0,714
103,252,3,70,948
178,4,2,0,1080
118,258,1,0,1070
171,278,2,127,1023
104,286,1,0,722
51,220,2,9,831
126,288,2,0,1018
58,236,1,0,1068
136,240,1,75,1027
53,289,3,68,1038
219,225,2,17,1037
196,221,1,0,1079
32,253,3,0,804
36,251,3,103,1071
74,280,1,0,800
57,255,2,0,886
64,14,1,96,1002
47,271,2,249,1043
103,245,3,216,960
26,230,3,30,1060
126,290,1,86,1072
205,9,1,0,942
177,240,2,75,1027
201,232,1,16,804
120,262,2,239,1021
124,226,1,0,998
199,298,1,374,962
164,267,2,0,914
67,259,1,86,990
142,295,3,10,1054
200,254,3,272,986
215,276,3,0,940
94,256,1,0,1022
122,292,3,56,868
206,4,2,0,1080
46,299,1,70,1056
204,220,1,9,831
138,223,2,6,926
29,7,3,0,1079
108,241,3,0,876
148,12,3,0,1079
52,276,1,0,940
112,1,1,55,871
208,277,2,0,982
159,275,3,0,888
41,249,2,0,1080
110,298,2,374,962
163,223,2,6,926
132,222,2,205,1049
189,240,1,75,1027
103,280,3,0,800
197,4,2,0,1080
106,281,3,167,1073
168,3,1,0,1074
140,297,2,156,964
193,267,1,0,914
90,252,2,70,948
55,266,1,0,748
38,7,2,0,1079
152,254,2,272,986
191,285,2,0,808
181,239,2,326,1080
147,247,2,0,712
78,243,1,174,1024
124,249,3,0,1080
74,222,3,205,1049
25,298,1,374,962
82,289,1,68,1038
47,282,2,0,772
75,299,2,70,1056
114,6,3,0,874
156,220,1,9,831
52,14,3,96,1002
162,11,1,311,1037
55,297,3,156,964
152,256,1,0,1022
156,292,3,56,868
85,229,3,0,736
141,274,2,0,804
213,296,1,0,994
105,273,1,30,806
109,289,3,68,1038
181,238,3,0,1064
21,259,1,86,990
189,270,1,185,937
66,11,2,311,1037
89,226,3,0,998
217,256,2,0,1022
74,19,3,54,1038
22,3,1,0,1074
67,250,2,0,890
