Comment,S=2_D=2_X=2(1)_4,,,,
Site, X, Y, Vertex,,
X0,3,4.1,0,,
X1,9.6,5.9,1,,
Supplier, X, Y, Vertex,,
S0,3.4,3.7,2,,
S1,2.6,4.4,3,,
Destination, X, Y, Vertex,,
D0,8,6.5,4,,
Order, To, Qty, ect, ldt,
S0,D0,2,0,600,0
S1,X1,2,0,600,1
S0,X1,2,0,600,2
S1,D0,2,0,600,3
Routes,,,,,
route0,"[X0,S0,X1,X1,X0]",,,,
route1,"[X1,S1,X1]",,,,
route2,"[X0,S1,S0,X0]",,,,
route3,"[X0,S0,D0,X1,X1,S1,X0]",,,,
route4,"[X1,D0,S1,X0,X0,S0,X1]",,,,
route5,"[X0,S0,D0,X0]",,,,
route6,"[X1,D0,S1,X1]",,,,
route7,"[X1,D0,S0,S1,X1]",,,,
route8,"[X0,D0,X1,X1,S0,X0]",,,,
route9,"[X0,S1,D0,X1,X1,S0,S1,X0]",,,,
route10,"[X1,D0,S1,D0,X1]",,,,
route11,"[X0,S0,X0]",,,,
route12,"[X0,D0,X1,X1,S0,S1,X0]",,,,
route13,"[X1,S0,D0,X1]",,,,
route14,"[X1,D0,X0,X0,X1]",,,,
route15,"[X0,X1,X1,D0,X0]",,,,
route16,"[X1,S0,S1,D0,X1]",,,,
route17,"[X0,D0,X1,X1,X0]",,,,
route18,"[X1,D0,S1,S0,D0,X1]",,,,
route19,"[X1,D0,X1]",,,,
route20,"[X1,D0,S0,D0,X1]",,,,
route21,"[X0,S0,S1,X0]",,,,
route22,"[X0,S0,D0,X1,X1,X0]",,,,
route23,"[X1,D0,S0,S1,D0,X1]",,,,
route24,"[X0,S1,D0,X1,X1,X0]",,,,
route25,"[X1,S1,S0,D0,X1]",,,,
route26,"[X0,S1,D0,X1,X1,S0,X0]",,,,
route27,"[X1,S0,X1]",,,,
route28,"[X0,S1,X0]",,,,
route29,"[X1,X0,X0,S1,X1]",,,,
route30,"[X0,D0,X1,X1,D0,X1,X1,S0,S1,X0]",,,,
route31,"[X0,X1,X1,X0]",,,,
route32,"[X1,S0,X0,X0,S1,X1]",,,,
route33,"[X1,X0,X0,S0,X1]",,,,
route34,"[X0,S1,X1,X1,X0]",,,,
route35,"[X1,D0,S0,X0,X0,X1]",,,,
route36,"[X0,D0,X1,X1,D0,X1,X1,S0,X0]",,,,
route37,"[X1,S0,S1,X1]",,,,
route38,"[X0,X1,X1,D0,X1,X1,S0,X0]",,,,
route39,"[X1,D0,S0,X1]",,,,
route40,"[X0,S0,D0,X1,X1,S0,S1,X0]",,,,
route41,"[X0,D0,X1,X1,D0,X0]",,,,
route42,"[X1,S1,X0,X0,S0,X1]",,,,
route43,"[X1,D0,S0,X0,X0,S1,X1]",,,,
route44,"[X1,X0,X0,X1]",,,,
route45,"[X0,D0,X0]",,,,
route46,"[X0,S1,D0,X0]",,,,
route47,"[X1,D0,X0,X0,S0,X1]",,,,
route48,"[X1,S1,D0,X1]",,,,
route49,"[X0,S0,D0,X1,X1,S0,X0]",,,,
route50,"[X0,X1,X1,D0,X1,X1,S0,S1,X0]",,,,
route51,"[X0,D0,X1,X1,D0,X1,X1,X0]",,,,
route52,"[X1,D0,X0,X0,S1,X1]",,,,
route53,"[X0,X1,X1,D0,X1,X1,X0]",,,,
route54,"[X0,S1,X0]",,,,
route55,"[X1,D0,X1]",,,,
Exit,,,,,
