Comment,S=2_D=4_X=2(1)_6
Site, X, Y, Vertex
X0,3.6,3.8,0
X1,4.4,8.0,1
Supplier, X, Y, Vertex
S0,4.8,3.1,2
S1,2.3,3.2,3
Destination, X, Y, Vertex
D0,4.5,7.5,4
D1,4.4,8.6,5
D2,3.6,5.0,6
Order, To, Qty, ect, ldt,
S1,D0,3,0,600,0
S0,D2,2,0,600,1
S1,D1,2,0,600,2
S0,X0,2,0,600,3
S0,D0,3,0,600,4
S1,D2,1,0,600,5
Routes
route0,"[X1,D0,S1,X0,X0,D1,X1]"
route1,"[X0,D2,X1,X1,D0,X0]"
route2,"[X0,S0,D2,S1,X0]"
route3,"[X1,D0,S1,X0,X0,S0,X1]"
route4,"[X1,S0,D2,X1]"
route5,"[X1,D0,S1,X0,X0,X1]"
route6,"[X0,D2,S0,D0,S1,X0]"
route7,"[X1,S0,D0,X1]"
route8,"[X1,D1,D0,D2,S1,D2,X1]"
route9,"[X0,S0,D0,S1,D1,X1,X1,S0,X0]"
route10,"[X0,D2,D0,X0]"
route11,"[X0,S1,D2,S0,D1,X1,X1,S0,X0]"
route12,"[X0,S1,D2,S0,D2,X0]"
route13,"[X1,D0,D2,S1,D0,D1,X1]"
route14,"[X0,D0,X1,X1,D2,X0]"
route15,"[X1,D1,D0,D2,S1,X0,X0,X1]"
route16,"[X0,D2,S0,D1,X0]"
route17,"[X0,S1,D1,S0,X0]"
route18,"[X1,D1,D0,X1]"
route19,"[X1,D1,D0,D2,X0,X0,S0,X1]"
route20,"[X0,S0,D0,S1,D1,X1,X1,X0]"
route21,"[X1,D0,D2,S1,D2,X1]"
route22,"[X1,X0,X0,S0,X1]"
route23,"[X1,D0,X0,X0,D2,X1]"
route24,"[X1,D0,D2,S1,X0,X0,D1,X1]"
route25,"[X0,D2,S0,D1,X1,X1,X0]"
route26,"[X1,D0,S0,X0,X0,D1,X1]"
route27,"[X0,S0,D2,S1,D0,X1,X1,X0]"
route28,"[X1,D1,D0,D2,S0,X0,X0,X1]"
route29,"[X0,D0,X0]"
route30,"[X0,S1,D0,X0]"
route31,"[X0,D2,S1,D1,S0,X0]"
route32,"[X1,D1,X1]"
route33,"[X0,D1,X1,X1,X0]"
route34,"[X0,S1,D2,X0]"
route35,"[X0,D2,S1,D2,S0,D1,X0]"
route36,"[X0,S1,D2,S0,D1,X1,X1,X0]"
route37,"[X1,D0,D2,S0,D2,X1]"
route38,"[X1,S1,X1]"
route39,"[X1,D0,D2,D1,X1]"
route40,"[X0,S1,S0,X0]"
route41,"[X0,D0,X1,X1,D1,X0]"
route42,"[X1,D0,D2,S0,X0,X0,X1]"
route43,"[X1,D1,D0,D2,S0,X0,X0,D1,X1]"
route44,"[X0,S0,D0,X0]"
route45,"[X0,D2,D0,X1,X1,X0]"
route46,"[X0,D2,S0,D0,X1,X1,D1,D2,S1,X0]"
route47,"[X0,D2,S0,D0,X1,X1,D1,D2,X0]"
route48,"[X0,S0,D2,X0]"
route49,"[X0,S0,D0,X1,X1,D1,D2,X0]"
route50,"[X1,D0,S0,D1,X1]"
route51,"[X1,D0,X0,X0,X1]"
route52,"[X0,D2,D1,X1,X1,D0,X0]"
route53,"[X1,D0,S1,D2,X1]"
route54,"[X1,D0,S1,D1,X1]"
route55,"[X1,D0,S0,D2,X1]"
route56,"[X1,D0,D2,S0,X1]"
route57,"[X0,S1,D0,S0,D1,X0]"
route58,"[X0,D2,S1,D0,S0,D2,X0]"
route59,"[X1,S0,X0,X0,X1]"
route60,"[X0,D2,S1,D1,X0]"
route61,"[X0,S1,D2,S0,X0]"
route62,"[X0,D0,X1,X1,D1,D2,X0]"
route63,"[X0,D2,S1,D1,D0,S0,X0]"
route64,"[X0,D2,D0,X1,X1,D1,X1,X1,X0]"
route65,"[X0,D2,S0,D2,S1,D1,X0]"
route66,"[X0,S1,D1,X1,X1,S0,X0]"
route67,"[X1,S1,X0,X0,X1]"
route68,"[X0,D2,S0,D0,S1,D0,X0]"
route69,"[X1,D1,D0,D2,S0,D2,X1]"
route70,"[X0,S1,D2,S0,D0,X0]"
route71,"[X1,S1,X0,X0,S0,X1]"
route72,"[X1,D0,S0,X0,X0,S1,X1]"
route73,"[X1,S1,D2,X1]"
route74,"[X1,D1,D0,D2,S0,X0,X0,S1,X1]"
route75,"[X1,D1,D0,D2,S1,D0,D1,X1]"
route76,"[X0,D2,S1,D2,S0,D1,X1,X1,X0]"
route77,"[X0,D2,S1,D1,X1,X1,X0]"
route78,"[X1,D1,D0,D2,S1,X1]"
route79,"[X1,D0,X0,X0,S0,X1]"
route80,"[X1,S1,D0,X1]"
route81,"[X1,D0,D2,S0,X0,X0,S1,D1,X1]"
route82,"[X0,S1,D1,D0,S0,D2,S0,X0]"
route83,"[X0,D2,D0,X1,X1,D1,X0]"
route84,"[X1,D0,D2,S0,X0,X0,S1,X1]"
route85,"[X1,D1,D0,D2,S0,D0,X1]"
route86,"[X0,S0,D0,S1,D0,X0]"
route87,"[X0,S1,D0,S0,D2,X0]"
route88,"[X0,D2,D1,X1,X1,D0,X1,X1,X0]"
route89,"[X0,D1,X0]"
route90,"[X1,D0,S1,X1]"
route91,"[X1,D0,D2,S1,D1,X1]"
route92,"[X0,D2,S0,D2,S1,D1,X1,X1,X0]"
route93,"[X0,S0,D0,S1,X0]"
route94,"[X0,X1,X1,D1,X0]"
route95,"[X0,S0,X0]"
route96,"[X1,D0,D1,X1]"
route97,"[X0,S0,D2,S1,D1,X1,X1,X0]"
route98,"[X0,D0,X1,X1,X0]"
route99,"[X1,D0,S0,X0,X0,D2,D1,X1]"
route100,"[X1,D0,X1]"
route101,"[X1,D1,D0,D2,S0,D1,X1]"
route102,"[X0,S1,D1,X1,X1,X0]"
route103,"[X1,D0,D2,X0,X0,S1,X1]"
route104,"[X0,S0,D0,X1,X1,X0]"
route105,"[X0,S1,D0,X1,X1,X0]"
route106,"[X0,S1,D2,S0,D1,X0]"
route107,"[X1,D0,X0,X0,D2,D1,X1]"
route108,"[X0,S0,D1,X1,X1,X0]"
route109,"[X1,D0,D2,S0,D0,X1]"
route110,"[X1,D0,S0,X0,X0,S1,D1,X1]"
route111,"[X1,D0,D2,S1,X0,X0,X1]"
route112,"[X1,S0,X1]"
route113,"[X1,S1,D1,X1]"
route114,"[X0,S1,D1,D0,S0,X0]"
route115,"[X1,S0,X0,X0,S1,D1,X1]"
route116,"[X1,X0,X0,S1,X1]"
route117,"[X1,D0,S1,D0,D1,X1]"
route118,"[X1,D0,D2,X0,X0,S0,X1]"
route119,"[X0,S1,D1,D0,S0,D2,X0]"
route120,"[X1,D0,S0,X1]"
route121,"[X0,S0,D0,S1,D1,X0]"
route122,"[X0,D2,S1,D1,D0,S0,D2,X0]"
route123,"[X0,S1,D1,X0]"
route124,"[X1,D0,D2,X1]"
route125,"[X0,D2,S1,D0,S0,D1,X0]"
route126,"[X1,D0,D2,X0,X0,X1]"
route127,"[X0,S0,D0,S1,D0,X1,X1,S0,X0]"
route128,"[X0,D2,D0,D1,X1,X1,X0]"
route129,"[X1,D1,D0,D2,S0,X1]"
route130,"[X1,D0,X0,X0,S1,X1]"
route131,"[X0,D2,X1,X1,D0,X1,X1,X0]"
route132,"[X0,S0,D1,X0]"
route133,"[X0,S0,D2,S1,D0,X0]"
route134,"[X0,S0,D1,X1,X1,S0,X0]"
route135,"[X0,S0,D0,S1,D0,X1,X1,X0]"
route136,"[X0,S0,D2,S1,D1,X1,X1,S0,X0]"
route137,"[X1,D0,D2,S1,X0,X0,S0,X1]"
route138,"[X1,D1,D0,D2,S1,X0,X0,D1,X1]"
route139,"[X0,S1,D0,S0,D1,X1,X1,S0,X0]"
route140,"[X0,D2,S1,D2,S0,D0,X0]"
route141,"[X1,D0,S1,D0,X1]"
route142,"[X1,D0,D2,S1,D0,X1]"
route143,"[X0,D2,S1,D0,S0,D1,X1,X1,X0]"
route144,"[X1,D1,D0,D2,X0,X0,X1]"
route145,"[X1,D0,D2,S1,X1]"
route146,"[X1,S1,X0,X0,D1,X1]"
route147,"[X0,S0,S1,X0]"
route148,"[X1,D0,S0,D0,X1]"
route149,"[X0,S1,D0,S0,D1,X1,X1,X0]"
route150,"[X0,X1,X1,D1,X1,X1,X0]"
route151,"[X0,D2,X0]"
route152,"[X1,S0,X0,X0,D1,X1]"
route153,"[X0,D0,X1,X1,D1,X1,X1,X0]"
route154,"[X0,D2,S0,D0,S1,D1,X0]"
route155,"[X0,S1,X0]"
route156,"[X1,D0,D2,S0,D1,X1]"
route157,"[X1,D1,D0,D2,S0,X0,X0,S1,D1,X1]"
route158,"[X0,S1,D2,S0,D0,X1,X1,X0]"
route159,"[X0,X1,X1,X0]"
route160,"[X1,S0,X0,X0,S1,X1]"
route161,"[X0,S0,D0,X1,X1,D1,D2,S1,X0]"
route162,"[X1,S0,D1,X1]"
route163,"[X1,D0,S0,X0,X0,X1]"
route164,"[X1,D1,D0,D2,S1,D1,X1]"
route165,"[X0,D2,S0,D0,S1,D1,X1,X1,X0]"
route166,"[X1,D1,D0,D2,S1,X0,X0,S0,X1]"
route167,"[X1,D2,X1]"
route168,"[X1,D0,D2,S0,X0,X0,D1,X1]"
route169,"[X1,S1,D0,D1,X1]"
route170,"[X0,S0,D2,S1,D1,X0]"
route171,"[X0,D2,S0,D2,S1,D0,X0]"
route172,"[X1,X0,X0,X1]"
route173,"[X0,D2,D0,D1,X1,X1,D1,X0]"
route174,"[X1,D0,S0,X0,X0,S1,D2,D1,X1]"
route175,"[X1,D1,D0,D2,X0,X0,S1,X1]"
route176,"[X1,D1,D0,D2,S1,D0,X1]"
route177,"[X0,S1,D0,S0,D2,S0,X0]"
route178,"[X0,S0,X0]"
route179,"[X0,S0,X0]"
route180,"[X0,S1,X0]"
route181,"[X0,S1,X0]"
route182,"[X1,D0,X1]"
route183,"[X1,D1,X1]"
route184,"[X0,D2,X0]"
Exit,
