Comment,S=2_D=3_X=2(1)_4
Site, X, Y, Vertex
X0,7.6,7.6,0
X1,6.4,1.3,1
Supplier, X, Y, Vertex
S0,9.1,7.7,2
S1,6.1,2.5,3
Destination, X, Y, Vertex
D0,6.0,7.4,4
D1,6.6,0.05,5
Order, To, Qty, ect, ldt,
S1,X1,1,0,600,0
S1,D1,1,0,600,1
S0,D0,2,0,600,2
S0,X1,2,0,600,3
Routes
route0,"[X1,S1,D0,X0,X0,S0,X1]"
route1,"[X0,S0,D1,X1,X1,S1,S0,X0]"
route2,"[X0,S1,D1,X1,X1,S1,S0,X0]"
route3,"[X0,D0,X1,X1,D1,X1,X1,S1,X0]"
route4,"[X0,D0,S1,X1,X1,D1,S0,X0]"
route5,"[X1,S1,D0,X0,X0,S1,X1]"
route6,"[X1,S0,D0,X1]"
route7,"[X0,D0,S1,X1,X1,S0,X0]"
route8,"[X0,D0,S1,D1,X0]"
route9,"[X0,S0,X1,X1,S1,X0]"
route10,"[X1,D1,S1,X0,X0,S0,X1]"
route11,"[X1,S1,D0,X0,X0,S0,D1,X1]"
route12,"[X0,D0,X0]"
route13,"[X0,S1,D0,X0]"
route14,"[X1,D1,X1]"
route15,"[X0,D1,X1,X1,X0]"
route16,"[X0,S0,D1,X1,X1,S1,X0]"
route17,"[X0,S0,X1,X1,X0]"
route18,"[X0,D1,X1,X1,S1,S0,X0]"
route19,"[X1,X0,X0,D0,X0,X0,S1,X1]"
route20,"[X1,S1,X1]"
route21,"[X1,D1,X0,X0,D0,S1,X1]"
route22,"[X0,D0,X1,X1,D1,X0]"
route23,"[X0,S0,D0,X0]"
route24,"[X1,D1,X0,X0,D0,X0,X0,S1,X1]"
route25,"[X1,D0,S0,D1,X1]"
route26,"[X1,D0,X0,X0,X1]"
route27,"[X1,S0,D0,S1,X1]"
route28,"[X0,D0,S1,D0,X0]"
route29,"[X1,S0,D1,S1,X1]"
route30,"[X1,S1,D0,S1,X1]"
route31,"[X1,D1,S1,S0,X1]"
route32,"[X1,S1,X0,X0,X1]"
route33,"[X0,D0,X1,X1,D1,X1,X1,S1,S0,X0]"
route34,"[X1,S1,X0,X0,S0,X1]"
route35,"[X1,S1,D0,X1]"
route36,"[X1,S1,S0,X1]"
route37,"[X1,D1,S1,D0,X0,X0,S0,D1,X1]"
route38,"[X1,D0,X0,X0,D0,X1]"
route39,"[X0,D1,X0]"
route40,"[X1,D0,S1,X1]"
route41,"[X1,X0,X0,D0,S1,X1]"
route42,"[X0,X1,X1,D1,X0]"
route43,"[X0,S0,X0]"
route44,"[X0,D0,X1,X1,X0]"
route45,"[X1,D0,X1]"
route46,"[X0,S1,D1,X1,X1,X0]"
route47,"[X1,D1,S1,D0,X0,X0,S0,X1]"
route48,"[X0,S0,D1,X1,X1,X0]"
route49,"[X1,S1,D0,X0,X0,X1]"
route50,"[X1,S0,X1]"
route51,"[X1,S1,D1,X1]"
route52,"[X1,D1,X0,X0,D0,X1]"
route53,"[X1,X0,X0,D0,X1]"
route54,"[X0,D0,S1,X0]"
route55,"[X1,S1,D0,X0,X0,S0,D1,S1,X1]"
route56,"[X1,D0,S0,X1]"
route57,"[X0,S1,D1,X0]"
route58,"[X1,D0,X0,X0,S1,X1]"
route59,"[X0,S0,D1,X0]"
route60,"[X0,D0,S0,D1,X0]"
route61,"[X1,D0,S0,D0,X1]"
route62,"[X0,S0,S1,X0]"
route63,"[X1,D1,S1,D0,X0,X0,X1]"
route64,"[X0,X1,X1,D1,X1,X1,X0]"
route65,"[X0,D0,S1,X1,X1,X0]"
route66,"[X0,D0,X1,X1,D1,X1,X1,X0]"
route67,"[X0,S1,X0]"
route68,"[X0,X1,X1,X0]"
route69,"[X1,S0,D1,X1]"
route70,"[X0,S1,X1,X1,X0]"
route71,"[X0,D1,X1,X1,S1,X0]"
route72,"[X0,X1,X1,D1,X1,X1,S1,X0]"
route73,"[X0,X1,X1,D1,X1,X1,S1,S0,X0]"
route74,"[X1,X0,X0,X1]"
route75,"[X0,S1,D1,X1,X1,S1,X0]"
route76,"[X1,S0,D0,X0,X0,S1,X1]"
route77,"[X0,S0,X0]"
Exit,
