Comment,S=2_D=4_X=1(0)_5
Site, X, Y, Vertex
X0,6.5,3.9,0
Supplier, X, Y, Vertex
S0,6.4,0.05,1
S1,9.95,4.7,2
Destination, X, Y, Vertex
D0,4.8,2.5,3
D1,7.7,7.6,4
D2,5.6,1.4,5
D3,4.4,7.3,6
Order, To, Qty, ect, ldt,
S1,D3,1,0,600,0
S0,D0,3,0,600,1
S1,D2,3,0,600,2
S1,D1,1,0,600,3
S0,D2,2,0,600,4
Routes
route0,"[X0,D0,D2,S0,D0,S1,D3,X0]"
route1,"[X0,D0,D2,S0,D0,D1,S1,D1,X0]"
route2,"[X0,D0,D2,S0,D0,D1,X0]"
route3,"[X0,D2,S0,D1,X0]"
route4,"[X0,S1,D3,D0,X0]"
route5,"[X0,D0,D2,S0,S1,D3,D0,X0]"
route6,"[X0,S0,S1,D3,X0]"
route7,"[X0,D0,D2,S0,S1,D3,X0]"
route8,"[X0,D0,D2,S0,S1,X0]"
route9,"[X0,D0,D2,S0,D0,D1,S1,D1,S1,X0]"
route10,"[X0,D3,D1,X0]"
route11,"[X0,S0,D2,D0,X0]"
route12,"[X0,D2,S0,D2,D0,X0]"
route13,"[X0,S0,S1,D1,D3,X0]"
route14,"[X0,D0,D2,S0,S1,D1,D3,X0]"
route15,"[X0,D1,X0]"
route16,"[X0,D0,D2,S0,D0,X0]"
route17,"[X0,D2,S0,S1,D1,D3,X0]"
route18,"[X0,D0,D3,X0]"
route19,"[X0,S0,D0,D1,S1,D1,X0]"
route20,"[X0,S0,X0]"
route21,"[X0,D2,S0,D2,X0]"
route22,"[X0,S1,D1,X0]"
route23,"[X0,D2,S0,D0,D1,X0]"
route24,"[X0,S1,S0,D2,X0]"
route25,"[X0,D2,D0,D3,D1,X0]"
route26,"[X0,S1,D3,X0]"
route27,"[X0,S0,D0,D3,X0]"
route28,"[X0,D1,S1,D3,D0,S0,D2,X0]"
route29,"[X0,S0,D3,X0]"
route30,"[X0,S0,D1,X0]"
route31,"[X0,D0,D2,S0,D3,X0]"
route32,"[X0,D3,D0,D2,X0]"
route33,"[X0,S0,S1,X0]"
route34,"[X0,D2,S0,S1,D1,X0]"
route35,"[X0,D0,D2,S0,S1,D1,D0,X0]"
route36,"[X0,S1,D3,D0,S0,D2,X0]"
route37,"[X0,D2,S0,D0,S1,D1,X0]"
route38,"[X0,S0,D0,S1,D3,X0]"
route39,"[X0,S0,S1,D1,S1,X0]"
route40,"[X0,D1,D3,D0,D2,S0,X0]"
route41,"[X0,D2,S0,D0,S1,D3,X0]"
route42,"[X0,D2,S0,S1,X0]"
route43,"[X0,S1,D1,S0,D2,D0,X0]"
route44,"[X0,D0,D2,S0,D0,S1,D1,X0]"
route45,"[X0,D2,X0]"
route46,"[X0,S0,D0,S1,D1,S1,X0]"
route47,"[X0,D2,S0,D3,X0]"
route48,"[X0,S1,D1,D0,X0]"
route49,"[X0,S1,X0]"
route50,"[X0,S0,S1,D1,X0]"
route51,"[X0,D2,D0,X0]"
route52,"[X0,S0,S1,D1,D0,X0]"
route53,"[X0,D2,S0,X0]"
route54,"[X0,D2,S0,S1,D3,D0,X0]"
route55,"[X0,S1,D3,D0,S0,D2,S0,X0]"
route56,"[X0,S0,D0,D1,S1,D1,S1,X0]"
route57,"[X0,D0,D2,S0,D1,X0]"
route58,"[X0,D0,D2,S0,D2,D0,X0]"
route59,"[X0,D0,D2,X0]"
route60,"[X0,S0,S1,D3,D0,X0]"
route61,"[X0,D2,S0,S1,D3,X0]"
route62,"[X0,D2,S0,D0,X0]"
route63,"[X0,D1,D3,D0,D2,X0]"
route64,"[X0,S1,S0,D0,X0]"
route65,"[X0,S1,D2,X0]"
route66,"[X0,S0,D0,S1,D1,X0]"
route67,"[X0,S1,D2,D0,X0]"
route68,"[X0,S1,S0,X0]"
route69,"[X0,S1,D0,X0]"
route70,"[X0,S0,D0,D1,X0]"
route71,"[X0,S0,D0,D1,S1,X0]"
route72,"[X0,D3,X0]"
route73,"[X0,S0,D2,X0]"
route74,"[X0,D0,D2,S0,X0]"
route75,"[X0,D0,D2,S0,D2,X0]"
route76,"[X0,D0,X0]"
route77,"[X0,S0,D0,X0]"
route78,"[X0,D0,D3,D1,X0]"
route79,"[X0,D2,S0,D0,D1,S1,D1,X0]"
route80,"[X0,D0,D2,S0,D0,D3,X0]"
route81,"[X0,D2,S0,D0,D3,X0]"
route82,"[X0,D2,S0,S1,D1,D0,X0]"
route83,"[X0,D0,D2,S0,S1,D1,X0]"
route84,"[X0,S1,S0,D2,D0,X0]"
route85,"[X0,S0,X0]"
route86,"[X0,S1,X0]"
Exit,
