Comment,S=2_D=4_X=2(0)_5
Site, X, Y, Vertex
X0,6.4,10.0,0
X1,4.2,1.0,1
Supplier, X, Y, Vertex
S0,3.8,9.95,2
S1,3.0,2.9,3
Destination, X, Y, Vertex
D0,9.95,9.95,4
D1,5.4,9.95,5
D2,0.05,0.05,6
D3,9.5,0.05,7
Order, To, Qty, ect, ldt,
S1,D3,3,0,600,0
S0,D2,3,0,600,1
S1,D1,1,0,600,2
S0,D3,3,0,600,3
S0,D0,3,0,600,4
Routes
route0,"[X1,D3,D0,X0,X0,D1,D2,S1,X1]"
route1,"[X1,D2,D1,D3,X1]"
route2,"[X0,D1,D3,S0,X0]"
route3,"[X0,D1,S1,D2,X0]"
route4,"[X0,S0,D2,S1,X0]"
route5,"[X0,D2,X1,X1,S1,S0,X0]"
route6,"[X0,D1,S0,S1,D2,X1,X1,D3,D0,X0]"
route7,"[X1,S0,D2,X1]"
route8,"[X0,D1,S0,D1,X0]"
route9,"[X0,D1,D2,X1,X1,S1,S0,X0]"
route10,"[X1,S1,D1,X0,X0,S1,X1]"
route11,"[X1,S1,D0,X0,X0,S1,X1]"
route12,"[X1,S0,D0,X1]"
route13,"[X1,D0,X0,X0,D1,X0,X0,S1,X1]"
route14,"[X1,D0,X0,X0,D1,D2,X1]"
route15,"[X1,D3,D0,X0,X0,D1,D2,X1]"
route16,"[X0,D1,S0,X0]"
route17,"[X1,D1,S0,X1]"
route18,"[X0,S1,D1,S0,X0]"
route19,"[X1,X0,X0,D1,X1]"
route20,"[X1,S1,S0,D1,X0,X0,D0,S1,X1]"
route21,"[X0,D1,S0,S1,X1,X1,D0,S0,X0]"
route22,"[X0,D1,D2,X0]"
route23,"[X0,D2,S1,S0,X0]"
route24,"[X1,D0,X0,X0,D1,D2,S1,X1]"
route25,"[X0,S1,D2,S1,X0]"
route26,"[X1,D2,D1,D3,S1,X1]"
route27,"[X0,D1,D0,X0]"
route28,"[X0,S0,D2,X1,X1,S1,S0,X0]"
route29,"[X1,D2,D1,X0,X0,D3,S1,X1]"
route30,"[X0,S1,D0,D1,X0]"
route31,"[X0,D1,D2,X1,X1,D0,X0]"
route32,"[X0,D3,X0]"
