qsd.s,qsd.d,qty,ect,ldt
8,68,1,455,1019
15,74,2,403,959
44,62,2,90,1070
32,70,1,3,907
30,6,1,23,997
14,73,3,66,918
12,65,3,355,1025
44,77,3,169,1031
45,61,3,62,836
50,75,2,84,968
20,62,3,90,1070
44,66,2,0,856
26,68,1,455,1019
55,74,3,403,959
12,1,1,0,828
39,75,2,84,968
14,71,1,0,1114
42,61,1,62,836
17,60,2,73,823
14,72,3,0,942
38,60,1,73,823
19,69,1,80,980
18,72,3,0,942
25,76,3,288,870
40,66,2,0,856
54,4,1,127,725
52,58,1,0,674
53,75,3,84,968
37,63,2,23,617
37,58,2,0,674
49,6,1,23,997
23,60,3,73,823
28,60,2,73,823
24,60,3,73,823
57,71,2,0,1114
52,65,1,355,1025
34,59,3,367,879
17,70,1,3,907
13,63,2,23,617
11,62,3,90,1070
32,76,3,288,870
15,75,1,84,968
35,60,1,73,823
16,6,1,23,997
31,6,1,23,997
30,4,1,127,725
22,65,1,355,1025
38,68,2,455,1019
50,74,1,403,959
8,76,3,288,870
22,6,3,23,997
46,64,1,336,910
9,65,3,355,1025
8,1,1,0,828
23,73,3,66,918
55,76,3,288,870
47,4,3,127,725
34,61,1,62,836
26,69,2,80,980
31,1,2,0,828
43,61,1,62,836
41,61,2,62,836
48,5,2,296,1030
13,68,1,455,1019
38,62,2,90,1070
27,74,1,403,959
56,74,3,403,959
54,5,3,296,1030
53,63,3,23,617
47,67,1,34,864
46,65,1,355,1025
21,66,3,0,856
57,67,3,34,864
29,58,1,0,674
12,77,1,169,1031
36,77,3,169,1031
42,71,3,0,1114
19,58,3,0,674
27,5,2,296,1030
25,75,2,84,968
24,62,3,90,1070
34,68,2,455,1019
51,5,1,296,1030
47,74,2,403,959
16,4,1,127,725
30,58,3,0,674
18,71,3,0,1114
39,71,3,0,1114
21,59,2,367,879
45,1,1,0,828
9,72,1,0,942
49,69,2,80,980
33,73,2,66,918
57,59,1,367,879
56,66,2,0,856
11,67,3,34,864
40,70,3,3,907
55,70,3,3,907
53,68,2,455,1019
18,1,1,0,828
39,73,3,66,918
48,59,2,367,879
22,73,3,66,918
32,64,1,336,910
28,6,2,23,997
50,72,1,0,942
11,70,3,3,907
35,64,2,336,910
40,63,2,23,617
43,63,2,23,617
15,73,1,66,918
24,59,3,367,879
19,72,2,0,942
43,76,1,288,870
25,64,2,336,910
23,77,3,169,1031
46,61,1,62,836
27,71,3,0,1114
51,75,1,84,968
47,77,3,169,1031
52,77,1,169,1031
26,72,2,0,942
41,69,1,80,980
35,58,1,0,674
10,67,2,34,864
48,67,2,34,864
42,74,3,403,959
20,4,1,127,725
28,76,2,288,870
45,63,2,23,617
54,66,3,0,856
29,65,3,355,1025
20,69,1,80,980
33,5,2,296,1030
16,5,1,296,1030
36,64,2,336,910
10,4,1,127,725
41,1,1,0,828
31,58,2,0,674
48,6,1,23,997
21,63,3,23,617
9,66,3,0,856
33,62,2,90,1070
56,70,2,3,907
29,66,1,0,856
10,69,1,80,980
51,67,2,34,864
29,64,1,336,910
36,71,3,0,1114
13,59,3,367,879
37,1,2,0,828
