Comment,S=2_D=2_X=1(0)_4,,,,
Site, X, Y, Vertex,,
X0,3.7,7.8,0,,
Supplier, X, Y, Vertex,,
S0,0.05,9.95,1,,
S1,0.05,6.9,2,,
Destination, X, Y, Vertex,,
D0,9.95,7,3,,
D1,4.9,7.3,4,,
Order, To, Qty, ect, ldt,
S0,D0,2,0,600,0
S1,D1,2,0,600,1
S0,D1,3,0,600,2
S1,D0,2,0,600,3
Routes,,,,,
route0,"[X0,S1,X0]",,,,
route1,"[X0,D1,S0,D0,X0]",,,,
route2,"[X0,D1,S1,D0,X0]",,,,
route3,"[X0,S1,S0,X0]",,,,
route4,"[X0,S0,S1,X0]",,,,
route5,"[X0,S0,X0]",,,,
route6,"[X0,D1,S0,S1,D1,D0,X0]",,,,
route7,"[X0,D0,X0]",,,,
route8,"[X0,S0,D0,X0]",,,,
route9,"[X0,S1,D0,X0]",,,,
route10,"[X0,D1,X0]",,,,
route11,"[X0,D1,D0,X0]",,,,
route12,"[X0,S1,D1,X0]",,,,
route13,"[X0,S0,D1,X0]",,,,
route14,"[X0,S0,S1,D1,D0,X0]",,,,
route15,"[X0,S0,X0]",,,,
route16,"[X0,S1,X0]",,,,
route17,"[X0,D0,X0]",,,,
route18,"[X0,D1,X0]",,,,
Exit,,,,,
