Comment,S=2_D=2_X=2(0)_4
Site, X, Y, Vertex
X0,3.5,9.5,0
X1,5.9,2.1,1
Supplier, X, Y, Vertex
S0,5.2,2.2,2
S1,6.6,2.0,3
Destination, X, Y, Vertex
D0,5.4,9.0,4
D1,1.6,9.95,5
Order, To, Qty, ect, ldt,
S0,D1,1,0,600,0
S1,D0,1,0,600,1
S0,D0,3,0,600,2
S1,D1,2,0,600,3
Routes
route0,"[X1,S0,D1,X0,X0,D0,S1,X1]"
route1,"[X0,S1,S0,D0,D1,X0]"
route2,"[X1,X0,X0,D0,S0,S1,X1]"
route3,"[X0,D0,S0,X1,X1,S1,X0]"
route4,"[X1,S0,D0,X1]"
route5,"[X1,X0,X0,D1,X0,X0,S0,S1,X1]"
route6,"[X0,D0,S1,X1,X1,S0,X0]"
route7,"[X0,D0,S1,D1,X0]"
route8,"[X1,D1,S0,X1]"
route9,"[X1,S1,D0,S0,D0,X0,X0,S0,S1,X1]"
route10,"[X1,S1,D1,X0,X0,S0,X1]"
route11,"[X0,X1,X1,S1,X0]"
route12,"[X1,X0,X0,D1,X1]"
route13,"[X1,S0,D1,D0,S1,D0,S0,S1,X1]"
route14,"[X0,S0,X1,X1,S1,D0,X0]"
route15,"[X0,S0,X1,X1,S1,X0]"
route16,"[X0,D1,S0,X1,X1,S1,D0,X0]"
route17,"[X0,D1,D0,X0]"
route18,"[X0,D0,S0,X0]"
route19,"[X0,D0,X0]"
route20,"[X0,S1,D0,X0]"
route21,"[X1,D1,X0,X0,D0,S0,X1]"
route22,"[X1,D1,X1]"
route23,"[X0,D0,S1,S0,D1,X0]"
route24,"[X1,D0,X0,X0,D1,S0,X1]"
route25,"[X1,S1,D1,X0,X0,S0,S1,X1]"
route26,"[X0,S0,X1,X1,X0]"
route27,"[X1,D1,X0,X0,D0,S0,S1,X1]"
route28,"[X1,S1,X1]"
route29,"[X1,S1,D0,S0,S1,X1]"
route30,"[X1,X0,X0,D0,S0,X1]"
route31,"[X0,S0,D0,X0]"
route32,"[X1,D0,X0,X0,X1]"
route33,"[X0,D0,S1,D0,X0]"
route34,"[X1,S0,D1,D0,X1]"
route35,"[X1,S1,D0,S0,D0,S0,X1]"
route36,"[X1,S0,X0,X0,D0,S1,X1]"
route37,"[X1,S0,X0,X0,X1]"
route38,"[X1,S1,D1,S0,D0,X1]"
route39,"[X1,S1,D0,S0,D0,S0,S1,X1]"
route40,"[X0,D0,S1,S0,D0,D1,X0]"
route41,"[X1,S0,D1,D0,S0,X1]"
route42,"[X1,S1,D0,X1]"
route43,"[X1,S0,D1,D0,S0,S1,X1]"
route44,"[X1,S1,S0,X1]"
route45,"[X1,S1,D0,S0,D0,X1]"
route46,"[X1,D0,X0,X0,D0,X1]"
route47,"[X0,D1,X0]"
route48,"[X1,D0,X0,X0,D1,X0,X0,S0,X1]"
route49,"[X0,S0,X0]"
route50,"[X1,S0,D1,X0,X0,S0,X1]"
route51,"[X1,X0,X0,D1,X0,X0,S0,X1]"
route52,"[X0,D0,X1,X1,X0]"
route53,"[X1,D0,X1]"
route54,"[X0,D0,S0,D0,X0]"
route55,"[X0,S1,S0,D1,X0]"
route56,"[X0,D0,X1,X1,S1,X0]"
route57,"[X1,S0,X1]"
route58,"[X1,D0,X0,X0,D1,X0,X0,S0,S1,X1]"
route59,"[X1,S1,D1,X1]"
route60,"[X1,D1,X0,X0,D0,X1]"
route61,"[X1,X0,X0,D0,X1]"
route62,"[X0,D0,S1,X0]"
route63,"[X1,D1,X0,X0,S0,X1]"
route64,"[X1,D0,S0,X1]"
route65,"[X1,S1,D0,D1,S0,D0,S0,X1]"
route66,"[X1,S1,D0,D1,S0,D0,X1]"
route67,"[X1,S1,D1,S0,D0,S0,S1,X1]"
route68,"[X1,S1,D1,S0,D0,X0,X0,S0,S1,X1]"
route69,"[X0,D0,D1,X0]"
route70,"[X0,S1,D1,X0]"
route71,"[X0,D0,S0,X1,X1,S1,D0,X0]"
route72,"[X0,S0,D1,X0]"
route73,"[X1,D0,X0,X0,D1,X1]"
route74,"[X1,X0,X0,D1,S0,X1]"
route75,"[X1,D0,S0,S1,X1]"
route76,"[X0,D0,X1,X1,S0,X0]"
route77,"[X1,S1,D0,D1,S0,D0,X0,X0,S0,S1,X1]"
route78,"[X1,D1,X0,X0,S0,S1,X1]"
route79,"[X1,S0,D1,S0,X1]"
route80,"[X1,S1,D1,S0,D0,S0,X1]"
route81,"[X0,D0,S0,D1,X0]"
route82,"[X1,S0,D0,S0,X1]"
route83,"[X0,D0,S0,X1,X1,X0]"
route84,"[X1,S1,D0,S0,X1]"
route85,"[X0,X1,X1,S0,X0]"
route86,"[X0,S1,X1,X1,S0,X0]"
route87,"[X1,S0,D1,D0,S1,D0,S0,X1]"
route88,"[X0,S1,X0]"
route89,"[X1,S1,D1,S0,X1]"
route90,"[X0,X1,X1,X0]"
route91,"[X1,S0,X0,X0,S1,X1]"
route92,"[X1,S0,D1,X1]"
route93,"[X1,S0,D1,X0,X0,S0,S1,X1]"
route94,"[X1,S0,S1,X1]"
route95,"[X1,S1,D0,D1,S0,D0,S0,S1,X1]"
route96,"[X1,X0,X0,X1]"
route97,"[X1,S0,D0,S0,S1,X1]"
route98,"[X1,S0,D1,D0,S1,D0,X1]"
route99,"[X1,S0,D1,D0,S1,D0,X0,X0,S0,S1,X1]"
Exit,
