qsd.s,qsd.d,qty,ect,ldt
77,3,2,0,856
104,134,1,175,1053
67,148,2,0,910
91,144,2,0,864
80,113,3,0,960
107,121,2,57,867
57,147,2,0,1002
79,143,1,12,768
44,122,3,117,975
103,148,3,0,910
56,114,2,0,728
97,113,2,0,960
47,117,1,0,974
83,129,3,0,718
107,116,2,0,846
81,144,3,0,864
98,133,2,0,720
46,0,2,69,653
99,135,2,226,1054
23,133,3,0,720
26,123,1,0,690
108,131,2,0,1020
98,0,2,69,653
85,131,2,0,1020
109,142,1,0,940
64,141,3,178,984
91,119,3,197,997
15,122,3,117,975
61,112,2,0,812
100,141,2,178,984
90,146,2,1,925
41,139,2,80,642
102,139,1,80,642
16,148,3,0,910
31,127,3,0,852
19,133,1,0,720
106,127,2,0,852
45,114,3,0,728
18,116,3,0,846
76,124,3,19,987
52,148,2,0,910
57,122,2,117,975
96,148,3,0,910
29,128,2,46,884
44,113,2,0,960
92,121,2,57,867
23,116,2,0,846
82,120,2,228,1032
71,115,3,4,940
45,146,1,1,925
35,147,2,0,1002
107,133,1,0,720
92,113,3,0,960
83,116,2,0,846
48,4,2,314,1078
75,151,2,0,900
109,113,2,0,960
110,118,3,223,1021
87,142,2,0,940
66,126,2,0,810
12,143,3,12,768
101,5,1,222,1030
89,120,3,228,1032
42,119,3,197,997
79,138,3,11,655
17,145,1,0,748
30,131,3,0,1020
54,130,2,113,899
28,4,3,314,1078
18,124,3,19,987
21,149,2,0,968
100,143,2,12,768
52,136,3,0,862
79,126,3,0,810
19,137,3,318,1014
101,125,1,0,832
71,149,3,0,968
57,5,3,222,1030
107,150,1,0,836
20,113,3,0,960
75,144,2,0,864
97,5,3,222,1030
86,136,1,0,862
27,120,2,228,1032
73,138,1,11,655
108,147,3,0,1002
37,121,3,57,867
61,132,1,86,1016
17,120,2,228,1032
91,135,2,226,1054
65,142,1,0,940
37,137,2,318,1014
38,114,1,0,728
35,125,2,0,832
102,151,2,0,900
33,141,2,178,984
105,129,2,0,718
44,135,1,226,1054
43,125,1,0,832
54,145,2,0,748
59,122,2,117,975
72,136,3,0,862
79,125,3,0,832
70,133,1,0,720
29,145,3,0,748
97,118,3,223,1021
56,137,3,318,1014
95,122,2,117,975
83,150,3,0,836
57,149,3,0,968
72,142,2,0,940
88,148,2,0,910
60,130,1,113,899
50,147,1,0,1002
89,114,3,0,728
37,146,1,1,925
41,133,2,0,720
12,149,1,0,968
101,147,3,0,1002
58,149,1,0,968
15,137,2,318,1014
89,133,2,0,720
104,126,2,0,810
54,0,2,69,653
102,132,3,86,1016
105,115,2,4,940
53,5,2,222,1030
103,117,1,0,974
34,141,3,178,984
106,0,3,69,653
30,141,3,178,984
33,146,3,1,925
103,137,3,318,1014
49,125,2,0,832
73,143,3,12,768
21,130,3,113,899
104,144,3,0,864
60,128,1,46,884
83,140,2,0,910
81,143,3,12,768
72,150,1,0,836
62,137,3,318,1014
110,145,2,0,748
13,126,2,0,810
60,115,3,4,940
50,129,3,0,718
61,126,2,0,810
90,120,2,228,1032
88,132,3,86,1016
59,136,2,0,862
40,114,1,0,728
103,146,1,1,925
43,135,2,226,1054
28,3,2,0,856
57,142,3,0,940
70,3,3,0,856
77,148,3,0,910
68,0,2,69,653
92,119,3,197,997
51,122,1,117,975
75,123,3,0,690
85,138,2,11,655
86,139,3,80,642
66,134,3,175,1053
12,144,1,0,864
87,3,1,0,856
76,121,1,57,867
42,113,1,0,960
58,112,1,0,812
32,135,3,226,1054
30,121,2,57,867
69,143,2,12,768
18,144,2,0,864
100,144,3,0,864
105,150,1,0,836
29,118,2,223,1021
44,126,2,0,810
77,143,3,12,768
58,130,2,113,899
35,142,1,0,940
69,132,2,86,1016
74,137,3,318,1014
20,119,2,197,997
56,149,1,0,968
71,142,3,0,940
86,149,1,0,968
93,115,2,4,940
74,117,2,0,974
37,150,1,0,836
27,140,2,0,910
94,3,1,0,856
25,146,2,1,925
23,112,2,0,812
84,118,3,223,1021
61,138,3,11,655
14,131,1,0,1020
36,136,1,0,862
41,119,1,197,997
91,141,2,178,984
89,123,1,0,690
79,4,2,314,1078
53,126,1,0,810
101,149,3,0,968
58,147,3,0,1002
56,147,2,0,1002
30,140,3,0,910
48,128,2,46,884
81,150,1,0,836
71,113,2,0,960
98,115,1,4,940
47,134,2,175,1053
12,118,1,223,1021
26,122,2,117,975
37,120,3,228,1032
25,135,1,226,1054
14,112,1,0,812
41,140,3,0,910
65,135,2,226,1054
27,125,1,0,832
42,139,2,80,642
40,117,3,0,974
38,145,3,0,748
77,112,2,0,812
91,146,3,1,925
28,127,1,0,852
52,129,3,0,718
90,145,2,0,748
53,119,2,197,997
68,4,3,314,1078
106,132,1,86,1016
54,134,1,175,1053
52,124,3,19,987
103,128,1,46,884
45,151,3,0,900
72,113,1,0,960
94,120,1,228,1032
109,114,2,0,728
110,116,3,0,846
26,131,1,0,1020
24,127,1,0,852
87,116,3,0,846
38,0,2,69,653
13,120,1,228,1032
87,117,2,0,974
31,145,3,0,748
90,0,2,69,653
77,5,3,222,1030
31,141,3,178,984
64,125,3,0,832
29,123,2,0,690
53,112,2,0,812
19,126,1,0,810
58,119,2,197,997
20,136,3,0,862
28,129,2,0,718
46,137,3,318,1014
82,132,2,86,1016
80,136,1,0,862
21,127,3,0,852
71,135,1,226,1054
95,126,2,0,810
96,5,1,222,1030
23,121,1,57,867
83,137,3,318,1014
24,146,3,1,925
98,151,3,0,900
94,150,1,0,836
84,113,2,0,960
15,117,3,0,974
39,129,2,0,718
111,121,2,57,867
66,133,3,0,720
62,132,3,86,1016
67,135,3,226,1054
15,5,2,222,1030
53,131,2,0,1020
67,127,3,0,852
35,143,2,12,768
59,119,2,197,997
78,151,1,0,900
66,114,1,0,728
100,149,3,0,968
55,139,3,80,642
70,125,3,0,832
29,112,3,0,812
56,138,2,11,655
69,138,2,11,655
74,145,3,0,748
57,141,2,178,984
47,151,3,0,900
45,139,1,80,642
37,4,3,314,1078
111,114,2,0,728
49,131,3,0,1020
84,142,1,0,940
108,127,1,0,852
39,115,2,4,940
51,115,1,4,940
86,129,2,0,718
26,148,2,0,910
102,113,3,0,960
43,151,3,0,900
32,3,1,0,856
15,124,3,19,987
89,113,1,0,960
28,0,1,69,653
58,117,3,0,974
67,124,2,19,987
33,151,2,0,900
96,119,3,197,997
103,124,1,19,987
80,144,1,0,864
95,130,1,113,899
71,119,2,197,997
46,139,1,80,642
96,123,1,0,690
97,146,3,1,925
24,134,2,175,1053
94,145,1,0,748
64,134,3,175,1053
60,134,2,175,1053
39,132,3,86,1016
87,0,1,69,653
27,148,2,0,910
16,146,1,1,925
77,126,3,0,810
17,113,1,0,960
101,127,1,0,852
15,116,3,0,846
102,120,3,228,1032
33,144,3,0,864
90,116,3,0,846
43,136,3,0,862
32,127,1,0,852
104,146,1,1,925
28,137,3,318,1014
59,135,2,226,1054
96,114,3,0,728
73,124,3,19,987
21,120,1,228,1032
71,134,2,175,1053
95,117,2,0,974
108,137,1,318,1014
72,119,1,197,997
20,141,2,178,984
51,145,1,0,748
92,3,3,0,856
26,139,2,80,642
85,117,2,0,974
25,132,2,86,1016
38,133,3,0,720
84,140,1,0,910
65,118,1,223,1021
87,123,3,0,690
90,132,3,86,1016
14,117,1,0,974
101,133,3,0,720
63,149,3,0,968
102,5,3,222,1030
64,148,3,0,910
19,138,1,11,655
69,128,3,46,884
35,116,2,0,846
52,116,3,0,846
81,117,3,0,974
70,143,2,12,768
34,130,1,113,899
35,151,3,0,900
46,4,1,314,1078
20,3,2,0,856
92,150,3,0,836
23,131,2,0,1020
36,119,3,197,997
24,130,3,113,899
99,142,1,0,940
111,131,3,0,1020
88,123,2,0,690
18,142,3,0,940
16,134,1,175,1053
42,128,2,46,884
66,124,3,19,987
29,126,1,0,810
34,113,3,0,960
24,128,3,46,884
20,150,3,0,836
66,142,2,0,940
95,121,3,57,867
72,151,1,0,900
22,4,3,314,1078
111,143,1,12,768
109,140,2,0,910
49,121,1,57,867
36,0,3,69,653
110,115,2,4,940
39,5,3,222,1030
13,129,1,0,718
111,120,1,228,1032
75,134,1,175,1053
26,125,2,0,832
100,139,1,80,642
58,145,3,0,748
78,112,3,0,812
31,151,1,0,900
33,131,3,0,1020
76,136,1,0,862
55,3,3,0,856
34,120,2,228,1032
104,137,2,318,1014
50,116,2,0,846
48,147,1,0,1002
22,146,3,1,925
96,121,3,57,867
98,135,2,226,1054
85,114,1,0,728
92,148,3,0,910
97,122,1,117,975
62,143,1,12,768
93,114,1,0,728
94,116,3,0,846
49,133,1,0,720
12,0,3,69,653
17,151,3,0,900
91,142,1,0,940
63,137,3,318,1014
64,144,3,0,864
79,130,3,113,899
53,150,3,0,836
43,140,1,0,910
17,125,1,0,832
80,123,1,0,690
22,137,1,318,1014
92,146,3,1,925
82,139,1,80,642
106,140,1,0,910
69,130,3,113,899
50,124,3,19,987
83,126,3,0,810
73,3,3,0,856
47,4,3,314,1078
97,139,1,80,642
48,118,1,223,1021
94,124,2,19,987
49,150,1,0,836
14,115,2,4,940
12,117,3,0,974
50,112,1,0,812
13,132,1,86,1016
63,146,1,1,925
27,136,1,0,862
100,113,1,0,960
16,127,1,0,852
86,140,3,0,910
102,115,2,4,940
68,149,2,0,968
59,118,3,223,1021
81,127,3,0,852
44,141,1,178,984
53,136,1,0,862
97,136,3,0,862
30,112,3,0,812
54,125,2,0,832
24,136,3,0,862
81,135,1,226,1054
96,141,1,178,984
25,145,3,0,748
73,141,3,178,984
82,143,1,12,768
21,119,1,197,997
36,4,2,314,1078
25,131,2,0,1020
36,121,1,57,867
84,4,3,314,1078
108,120,1,228,1032
90,135,2,226,1054
86,150,1,0,836
36,116,1,0,846
41,112,3,0,812
67,115,2,4,940
31,129,3,0,718
88,113,2,0,960
67,147,2,0,1002
32,4,3,314,1078
104,140,2,0,910
54,132,2,86,1016
59,128,2,46,884
35,124,3,19,987
55,117,2,0,974
45,5,3,222,1030
95,150,1,0,836
81,134,3,175,1053
55,137,1,318,1014
25,143,2,12,768
49,128,3,46,884
92,0,3,69,653
47,139,2,80,642
45,117,3,0,974
60,125,1,0,832
57,128,3,46,884
46,138,2,11,655
111,144,3,0,864
23,126,1,0,810
62,145,3,0,748
51,117,3,0,974
41,5,3,222,1030
91,150,2,0,836
76,134,2,175,1053
100,127,3,0,852
40,132,2,86,1016
88,134,3,175,1053
91,131,2,0,1020
15,143,2,12,768
