Comment,S=4_D=3_X=2(0)_8
Site, X, Y, Vertex
X0,5.0,4.1,0
X1,0.6,6.1,1
Supplier, X, Y, Vertex
S0,5.0,4.3,2
S1,3.2,4.3,3
S2,4.6,4.8,4
S3,1.1,4.0,5
Destination, X, Y, Vertex
D0,8.2,2.0,6
D1,3.8,5.0,7
D2,0.05,8.2,8
Order, To, Qty, ect, ldt,
S3,D0,1,0,600,0
S0,D2,3,0,600,1
S3,D1,1,0,600,2
S2,D1,2,0,600,3
S2,D2,2,0,600,4
S2,D0,3,0,600,5
S1,D2,3,0,600,6
S1,D1,1,0,600,7
Routes
route0,"[X0,S0,D1,S1,S3,D2,D0,S0,X0]"
route1,"[X1,D0,X0,X0,X1]"
route2,"[X0,S3,D1,S2,S0,X0]"
route3,"[X0,D1,S3,D1,X0]"
route4,"[X0,S3,D1,S0,X0]"
route5,"[X0,S1,S3,D1,D0,X0]"
route6,"[X1,S0,D0,X1]"
route7,"[X0,S1,S3,D1,S0,D1,D0,S0,S2,X0]"
route8,"[X1,D1,S0,X0,X0,X1]"
route9,"[X0,D1,S1,D1,S0,X0]"
route10,"[X0,D1,S1,S3,X1,X1,S2,S0,X0]"
route11,"[X0,S2,D0,S0,X0]"
route12,"[X1,X0,X0,D0,X1]"
route13,"[X0,S1,S3,D2,D1,S2,D1,S0,D0,S0,S2,X0]"
route14,"[X0,S1,S3,D2,D1,S2,D1,S0,X0]"
route15,"[X0,S3,D2,S0,X0]"
route16,"[X0,S1,S3,D1,S0,D1,D0,S0,X0]"
route17,"[X0,D1,S1,S3,S0,X0]"
route18,"[X1,S3,D0,X0,X0,S0,X1]"
route19,"[X1,D1,S0,X1]"
route20,"[X1,D1,S2,S0,X0,X0,S1,X1]"
route21,"[X1,D1,X0,X0,D1,X1]"
route22,"[X0,S2,D2,X0]"
route23,"[X0,S0,D2,S3,D1,S1,S2,S0,X0]"
route24,"[X0,S0,S2,X0]"
route25,"[X0,S2,S0,D0,S0,X0]"
route26,"[X0,S0,S2,D1,D2,X1,X1,S3,S1,X0]"
