Comment,S=3_D=4_X=1(0)_12
Site, X, Y, Vertex
X0,6.0,3.6,0
Supplier, X, Y, Vertex
S0,9.95,2.0,1
S1,5.5,5.7,2
S2,2.1,3.0,3
Destination, X, Y, Vertex
D0,4.7,2.9,4
D1,5.5,3.2,5
D2,7.4,5.8,6
D3,6.6,2.8,7
Order, To, Qty, ect, ldt,
S0,D3,3,0,600,0
S1,D2,2,0,600,1
S1,D0,3,0,600,2
S0,D1,3,0,600,3
S2,D3,1,0,600,4
S2,D1,3,0,600,5
S1,D3,1,0,600,6
S2,D0,3,0,600,7
S2,D2,2,0,600,8
S1,D1,3,0,600,9
S0,D2,3,0,600,10
S0,D0,1,0,600,11
Routes
route0,"[X0,D1,D3,S0,D1,X0]"
route1,"[X0,D3,D1,S1,D2,S2,D1,X0]"
route2,"[X0,D1,D0,D3,X0]"
route3,"[X0,D1,S1,S0,X0]"
route4,"[X0,D1,D0,D3,S0,D3,S1,D0,X0]"
route5,"[X0,D3,S0,S1,D0,X0]"
route6,"[X0,D1,S2,D2,X0]"
route7,"[X0,D1,S1,S0,D0,D1,X0]"
route8,"[X0,D1,S1,D1,X0]"
route9,"[X0,D1,D0,S2,X0]"
route10,"[X0,D1,D0,S2,D3,X0]"
route11,"[X0,S0,D2,S1,X0]"
route12,"[X0,D3,S0,D3,X0]"
route13,"[X0,D1,S1,D2,S2,D0,D1,X0]"
route14,"[X0,D1,S1,D2,S0,D2,X0]"
route15,"[X0,D3,D1,D0,S2,D1,D2,X0]"
route16,"[X0,D1,D3,S0,D0,D1,X0]"
route17,"[X0,S1,S2,D1,S0,D2,S1,X0]"
route18,"[X0,D3,D1,D0,S1,S2,D1,S0,D2,X0]"
route19,"[X0,D1,S1,D2,S0,D3,D0,X0]"
route20,"[X0,S0,D2,S1,S2,D0,D2,S1,X0]"
route21,"[X0,D1,S2,D0,S1,D2,S0,D2,X0]"
route22,"[X0,D3,S0,S1,D0,D3,X0]"
route23,"[X0,D1,D2,X0]"
route24,"[X0,D1,S2,D0,S1,D2,D0,D1,X0]"
route25,"[X0,D3,D1,S1,D2,S0,D3,X0]"
route26,"[X0,D1,D0,X0]"
route27,"[X0,S2,D1,D2,X0]"
route28,"[X0,D3,D1,S1,S0,D0,D1,X0]"
route29,"[X0,D1,D3,S0,D2,S1,D0,X0]"
route30,"[X0,S2,D0,D1,X0]"
route31,"[X0,D1,S1,S2,D1,D2,X0]"
route32,"[X0,D3,S0,S1,S2,X0]"
route33,"[X0,D3,D1,D0,S2,D3,X0]"
route34,"[X0,D3,X0]"
route35,"[X0,D3,D1,S1,D2,S0,D3,D0,X0]"
route36,"[X0,D0,X0]"
route37,"[X0,S2,D0,X0]"
route38,"[X0,D1,D3,S0,D3,S1,D0,X0]"
route39,"[X0,D1,D0,S2,D2,X0]"
route40,"[X0,D1,D0,S2,D0,D2,S1,X0]"
route41,"[X0,S0,X0]"
route42,"[X0,S2,D2,X0]"
route43,"[X0,D3,S0,D2,S1,D0,X0]"
route44,"[X0,D1,D0,S2,D1,D2,X0]"
route45,"[X0,S2,D0,S1,D2,D0,X0]"
route46,"[X0,D1,S2,S1,S0,X0]"
route47,"[X0,D3,D1,S1,S2,D1,S0,D2,S1,X0]"
route48,"[X0,D1,S2,D3,X0]"
route49,"[X0,D1,D0,S2,D0,S1,D2,S0,D2,D3,S1,X0]"
route50,"[X0,S1,D0,X0]"
route51,"[X0,D1,S1,D0,X0]"
route52,"[X0,D1,D0,S2,D1,D2,S1,X0]"
route53,"[X0,S1,S2,D1,D2,S1,X0]"
route54,"[X0,D1,D0,S2,D0,D1,X0]"
route55,"[X0,S1,D2,X0]"
route56,"[X0,D1,D0,S2,S1,D2,X0]"
route57,"[X0,S0,S1,D0,D3,X0]"
route58,"[X0,D1,S1,S2,D1,S0,D2,X0]"
route59,"[X0,D1,D0,D3,D2,S1,X0]"
route60,"[X0,D1,S2,D0,D1,X0]"
route61,"[X0,S0,D2,X0]"
route62,"[X0,D3,S0,D0,X0]"
route63,"[X0,S2,D1,D2,S1,X0]"
route64,"[X0,D3,D1,D0,S2,D0,S1,D2,S0,D2,D3,X0]"
route65,"[X0,S0,D0,X0]"
route66,"[X0,S1,D2,S2,D0,D1,X0]"
route67,"[X0,D1,D0,S2,D2,S1,X0]"
route68,"[X0,S1,D2,S0,D1,X0]"
route69,"[X0,S2,S1,D2,X0]"
route70,"[X0,S2,D2,S1,X0]"
route71,"[X0,S2,S1,D2,S1,X0]"
route72,"[X0,D1,D3,S0,D2,S1,S2,D0,D2,X0]"
route73,"[X0,D1,S2,D0,S1,D2,D0,X0]"
route74,"[X0,D1,S2,S1,D2,X0]"
route75,"[X0,D1,D3,S0,D2,S1,S2,D0,D2,S1,X0]"
route76,"[X0,S1,D2,S0,D2,S1,X0]"
route77,"[X0,S1,S2,D1,S0,D2,X0]"
route78,"[X0,D3,S0,S1,D2,D0,X0]"
route79,"[X0,D1,D0,D3,S0,S1,S2,X0]"
route80,"[X0,D1,D0,D3,S0,D2,S1,D0,D3,X0]"
route81,"[X0,D1,D0,D3,S0,D2,S1,S2,D0,D2,X0]"
route82,"[X0,D3,D1,D0,S2,D0,D2,X0]"
route83,"[X0,D3,D1,S1,D2,S2,D0,D1,X0]"
route84,"[X0,D1,D3,S0,D3,S1,S2,D0,D3,X0]"
route85,"[X0,D1,S1,D2,S2,D1,X0]"
route86,"[X0,D3,S0,D3,S1,S2,D0,D3,X0]"
route87,"[X0,D3,S0,X0]"
route88,"[X0,D1,D3,S0,D2,X0]"
route89,"[X0,D3,D1,S1,D2,S2,D3,X0]"
route90,"[X0,D1,S1,S2,X0]"
route91,"[X0,D1,D0,S2,D0,S1,D2,S0,D2,X0]"
route92,"[X0,D1,D3,S0,D2,D0,X0]"
route93,"[X0,D3,D1,D0,S2,D1,S1,D2,D1,X0]"
route94,"[X0,S1,D2,D1,X0]"
route95,"[X0,S0,D2,S1,D0,D3,X0]"
route96,"[X0,S1,S0,D3,D0,X0]"
route97,"[X0,D1,S1,D3,X0]"
route98,"[X0,D1,X0]"
route99,"[X0,D1,D3,S0,S1,D2,D0,X0]"
route100,"[X0,S2,D0,S1,D2,D0,D1,X0]"
route101,"[X0,S1,D2,S0,D2,X0]"
route102,"[X0,D1,S2,D0,X0]"
route103,"[X0,D3,D1,S1,S2,D1,D2,X0]"
route104,"[X0,D1,S1,D2,S2,D3,X0]"
route105,"[X0,S1,X0]"
route106,"[X0,D3,S0,D2,D0,X0]"
route107,"[X0,S1,D2,S0,D3,D0,X0]"
route108,"[X0,S0,D2,S1,S2,D0,D2,X0]"
route109,"[X0,S0,D3,S1,D0,X0]"
