qsd.s,qsd.d,qty,ect,ldt
20,39,3,733,935
23,46,3,713,865
21,32,2,416,696
27,38,3,744,976
25,37,1,925,1077
12,51,2,550,832
13,48,3,68,290
14,33,3,53,283
15,30,1,765,1015
4,29,2,564,729
18,36,1,211,468
16,29,1,564,729
8,51,1,550,832
9,50,3,572,822
20,48,3,68,290
23,31,1,651,906
22,45,1,99,401
27,44,1,172,427
25,35,1,421,576
12,41,1,207,469
15,35,1,421,576
13,44,1,172,427
28,34,1,145,355
19,31,1,651,906
17,31,2,651,906
4,49,3,153,368
8,53,3,2,209
6,53,1,2,209
11,35,1,421,576
24,34,2,145,355
22,51,2,550,832
21,50,1,572,822
27,37,3,925,1077
14,39,3,733,935
13,32,2,416,696
14,44,1,172,427
8,2,1,57,259
6,33,1,53,283
7,30,3,765,1015
10,36,3,211,468
8,29,1,564,729
9,32,3,416,696
21,29,3,564,729
12,48,2,68,290
15,44,3,172,427
28,39,1,733,935
16,32,2,416,696
5,47,1,470,705
17,47,2,470,705
8,50,2,572,822
10,41,3,207,469
25,38,3,744,976
23,37,2,925,1077
24,36,1,211,468
22,29,3,564,729
25,46,1,713,865
13,37,3,925,1077
18,33,3,53,283
16,44,2,172,427
21,40,1,116,318
11,43,3,692,834
22,3,1,126,383
20,50,3,572,822
12,49,3,153,368
26,42,2,110,265
27,2,3,57,259
12,32,2,416,696
28,52,3,14,264
18,49,2,153,368
16,45,1,99,401
19,35,2,421,576
5,31,2,651,906
8,49,1,153,368
9,35,1,421,576
23,32,3,416,696
27,48,2,68,290
18,29,3,564,729
14,29,3,564,729
19,32,2,416,696
17,46,1,713,865
28,46,3,713,865
6,51,1,550,832
9,41,1,207,469
23,40,2,116,318
21,52,3,14,264
27,47,1,470,705
15,34,2,145,355
28,2,2,57,259
16,30,2,765,1015
8,38,1,744,976
25,50,1,572,822
26,52,3,14,264
22,35,1,421,576
27,30,2,765,1015
26,39,2,733,935
13,46,3,713,865
14,40,3,116,318
15,45,3,99,401
4,34,1,145,355
28,41,1,207,469
18,51,2,550,832
5,43,2,692,834
7,37,1,925,1077
5,45,1,99,401
9,46,3,713,865
10,2,1,57,259
21,36,2,211,468
11,41,2,207,469
24,45,3,99,401
13,31,2,651,906
27,51,2,550,832
12,30,3,765,1015
15,40,3,116,318
13,52,1,14,264
18,53,3,2,209
16,46,2,713,865
14,32,3,416,696
19,39,1,733,935
17,39,3,733,935
4,42,3,110,265
5,40,2,116,318
8,3,2,126,383
7,34,3,145,355
10,42,1,110,265
8,30,3,765,1015
23,30,1,765,1015
24,29,2,564,729
20,29,2,564,729
19,30,2,765,1015
4,47,1,470,705
28,37,2,925,1077
16,47,2,470,705
6,40,1,116,318
7,38,3,744,976
11,48,1,68,290
9,43,1,692,834
24,50,3,572,822
20,3,2,126,383
23,51,3,550,832
21,34,1,145,355
26,41,2,207,469
24,37,2,925,1077
22,41,1,207,469
25,33,2,53,283
12,46,3,713,865
14,37,1,925,1077
15,52,2,14,264
16,43,1,692,834
17,34,1,145,355
6,38,3,744,976
8,46,1,713,865
9,47,1,470,705
20,35,3,421,576
23,45,2,99,401
21,49,2,153,368
11,52,3,14,264
26,34,2,145,355
24,31,2,651,906
22,31,3,651,906
12,2,2,57,259
26,35,3,421,576
13,45,2,99,401
14,36,3,211,468
12,29,3,564,729
15,53,3,2,209
4,52,1,14,264
19,42,3,110,265
17,49,2,153,368
4,31,1,651,906
7,3,3,126,383
5,3,2,126,383
8,40,1,116,318
9,42,1,110,265
10,39,3,733,935
21,33,1,53,283
11,53,2,2,209
25,39,1,733,935
26,37,2,925,1077
27,33,2,53,283
14,3,1,126,383
12,50,3,572,822
15,51,1,550,832
18,41,2,207,469
16,37,2,925,1077
14,41,3,207,469
19,2,2,57,259
28,36,2,211,468
5,36,3,211,468
8,45,2,99,401
8,43,2,692,834
9,34,3,145,355
26,47,3,470,705
22,47,2,470,705
17,48,1,68,290
5,38,1,744,976
24,38,1,744,976
23,33,2,53,283
21,2,2,57,259
26,43,1,692,834
24,48,3,68,290
27,34,3,145,355
14,46,3,713,865
19,47,1,470,705
15,39,3,733,935
28,35,1,421,576
18,37,1,925,1077
16,41,3,207,469
5,44,3,172,427
19,33,2,53,283
6,50,2,572,822
4,3,3,126,383
7,51,2,550,832
9,33,2,53,283
20,36,1,211,468
10,32,2,416,696
23,53,2,2,209
11,29,3,564,729
25,49,2,153,368
12,31,3,651,906
26,31,2,651,906
13,3,1,126,383
27,3,3,126,383
15,49,1,153,368
18,39,3,733,935
19,53,3,2,209
17,53,2,2,209
6,44,3,172,427
4,35,1,421,576
7,45,3,99,401
5,49,2,153,368
8,31,1,651,906
6,31,3,651,906
9,48,1,68,290
7,43,1,692,834
10,35,3,421,576
23,34,1,145,355
11,49,3,153,368
24,30,2,765,1015
22,42,2,110,265
12,38,3,744,976
15,33,1,53,283
17,51,1,550,832
4,37,1,925,1077
28,40,2,116,318
5,33,3,53,283
9,39,2,733,935
11,33,1,53,283
10,50,3,572,822
25,43,1,692,834
23,48,1,68,290
21,43,2,692,834
22,52,1,14,264
28,45,2,99,401
10,44,1,172,427
25,47,3,470,705
26,30,2,765,1015
27,52,2,14,264
25,40,1,116,318
12,3,2,126,383
18,46,1,713,865
19,36,2,211,468
4,45,1,99,401
7,33,3,53,283
5,2,3,57,259
8,48,1,68,290
9,51,1,550,832
20,40,2,116,318
21,42,1,110,265
11,44,3,172,427
20,47,3,470,705
13,49,2,153,368
27,45,1,99,401
28,50,1,572,822
16,2,2,57,259
7,53,3,2,209
6,2,1,57,259
11,3,2,126,383
27,40,2,116,318
13,47,2,470,705
18,30,2,765,1015
4,50,2,572,822
28,51,2,550,832
16,50,3,572,822
6,42,3,110,265
10,46,3,713,865
9,29,1,564,729
20,52,1,14,264
23,42,2,110,265
24,51,1,550,832
22,34,2,145,355
27,50,1,572,822
12,40,2,116,318
18,47,2,470,705
16,52,1,14,264
17,30,3,765,1015
7,48,3,68,290
9,38,2,744,976
20,49,3,153,368
10,29,2,564,729
23,2,1,57,259
11,32,2,416,696
24,53,2,2,209
27,29,1,564,729
25,36,2,211,468
13,2,2,57,259
14,48,2,68,290
12,43,3,692,834
4,30,1,765,1015
28,44,3,172,427
19,40,2,116,318
4,53,3,2,209
7,39,3,733,935
5,39,2,733,935
6,49,1,153,368
20,51,2,550,832
10,3,2,126,383
24,2,1,57,259
22,33,1,53,283
25,45,1,99,401
21,38,3,744,976
26,36,3,211,468
13,53,2,2,209
27,46,1,713,865
14,2,2,57,259
14,34,2,145,355
19,3,1,126,383
15,50,1,572,822
5,42,3,110,265
7,32,3,416,696
23,47,2,470,705
11,45,1,99,401
24,41,2,207,469
20,41,2,207,469
25,44,1,172,427
21,44,2,172,427
22,50,2,572,822
17,36,2,211,468
15,29,3,564,729
4,38,2,744,976
16,38,3,744,976
6,48,3,68,290
