qsd.s,qsd.d,qty,ect,ldt
9,21,2,259,491
6,14,1,507,697
8,13,3,46,261
11,20,3,278,485
6,1,3,6,263
7,17,2,258,488
5,18,1,256,516
10,18,2,256,516
5,16,1,34,271
2,0,2,336,541
7,20,1,278,485
4,19,2,794,986
2,21,1,259,491
10,19,3,794,986
3,16,2,34,271
9,15,3,230,505
6,18,2,256,516
7,1,3,6,263
4,12,2,63,288
11,18,3,256,516
8,14,3,507,697
6,13,1,46,261
7,19,2,794,986
10,20,3,278,485
9,17,3,258,488
10,0,2,336,541
8,21,3,259,491
3,19,1,794,986
11,16,3,34,271
4,15,2,230,505
2,12,3,63,288
3,0,3,336,541
10,17,2,258,488
3,20,3,278,485
11,14,3,507,697
7,12,2,63,288
5,15,3,230,505
2,18,3,256,516
10,15,2,230,505
8,16,2,34,271
6,19,3,794,986
11,21,2,259,491
4,0,1,336,541
11,0,2,336,541
9,19,1,794,986
3,13,3,46,261
6,15,3,230,505
11,17,2,258,488
9,13,1,46,261
4,14,3,507,697
7,0,2,336,541
6,17,2,258,488
8,20,3,278,485
7,14,3,507,697
5,1,3,6,263
9,12,3,63,288
3,1,2,6,263
4,18,3,256,516
3,14,1,507,697
5,12,1,63,288
2,15,2,230,505
